"","Subtype","Provider","Name","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Complaints upheld since 22/23","Total"
"70","Learning Disabilities","Private","The Elms - Crosshouse","East Ayrshire","22/02/2024",4,4,4,4,4,1,20
"71","Older People","Private","Thorntoun Estate Nursing Home","East Ayrshire","12/12/2023",4,4,4,4,4,3,20
"72","Learning Disabilities","Private","Newhouse","East Ayrshire","05/02/2024",4,4,4,5,4,0,21
"73","Learning Disabilities","Private","Kirklea","East Ayrshire","26/07/2022",5,4,5,6,4,0,24
"74","Older People","Private","Abbotsford House","East Dunbartonshire","26/02/2024",5,4,4,4,4,0,21
"75","Mental Health Problems","Voluntary or Not for Profit","Ashfield House","East Dunbartonshire","21/02/2023",5,5,5,4,4,0,23
"76","Learning Disabilities","Local Authority","John Street House","East Dunbartonshire","15/09/2022",5,5,5,5,4,0,24
"77","Older People","Private","Westlea Care Home","East Renfrewshire","27/03/2023",5,4,5,4,4,1,22
"78","Older People","Voluntary or Not for Profit","Williamwood","East Renfrewshire","28/06/2023",4,5,5,4,4,0,22
"79","Older People","Private","Craigend Gardens Care Home","Glasgow City","24/05/2024",4,3,4,4,3,2,18
"80","Older People","Voluntary or Not for Profit","David Cargill House","Glasgow City","12/04/2023",5,4,4,5,4,0,22
"81","Learning Disabilities","Voluntary or Not for Profit","Balshagray House","Glasgow City","19/12/2023",5,5,5,5,5,0,25
"82","Learning Disabilities","Voluntary or Not for Profit","Esmond Street Advanced Support Service","Glasgow City","12/01/2023",5,5,5,3,5,1,23
"83","Physical and Sensory Impairment","Voluntary or Not for Profit","Hayfield Residential Services","Glasgow City","27/03/2024",5,5,5,5,4,0,24
"84","Learning Disabilities","Voluntary or Not for Profit","Daniel House","Glasgow City","23/05/2022",5,5,5,5,4,0,24
"85","Physical and Sensory Impairment","Voluntary or Not for Profit","Blackwood Care - Belses Gardens Care Home","Glasgow City","05/09/2022",4,5,5,5,3,0,22
"86","Mental Health Problems","Voluntary or Not for Profit","South Carntyne Project","Glasgow City","22/07/2022",5,5,5,5,4,0,24
"87","Learning Disabilities","Voluntary or Not for Profit","Mavisbank Gardens","Glasgow City","05/09/2022",5,4,5,5,5,0,24
"88","Physical and Sensory Impairment","Voluntary or Not for Profit","Forrest House","Glasgow City","23/05/2024",3,3,5,4,3,0,18
"89","Mental Health Problems","Voluntary or Not for Profit","Brisbane Supported Accommodation Project","Glasgow City","06/09/2022",3,5,4,5,3,0,20
"90","Mental Health Problems","Voluntary or Not for Profit","Ledmore Supported Accommodation Project","Glasgow City","15/11/2023",4,4,4,4,4,0,20
"91","Mental Health Problems","Voluntary or Not for Profit","Easterhill Project Supported Accommodation","Glasgow City","13/07/2022",3,4,4,4,3,0,18
"92","Learning Disabilities","Voluntary or Not for Profit","Beacon House","Glasgow City","01/06/2022",5,4,5,5,5,0,24
"93","Mental Health Problems","Voluntary or Not for Profit","Victoria Project","Glasgow City","01/06/2022",4,5,4,5,3,0,21
"94","Mental Health Problems","Voluntary or Not for Profit","Carbeth House","Glasgow City","20/05/2022",5,4,4,5,5,0,23
"95","Older People","Voluntary or Not for Profit","Southside Dementia Services","Glasgow City","17/05/2022",5,5,5,5,4,0,24
"96","Learning Disabilities","Voluntary or Not for Profit","Mitre House","Glasgow City","22/11/2023",4,4,4,4,4,0,20
"97","Alcohol & Drug Misuse","Voluntary or Not for Profit","CrossReach Abstinence Recovery Service","Glasgow City","07/03/2022",5,4,4,4,4,0,21
"98","Mental Health Problems","Voluntary or Not for Profit","Balmoral Gate","Glasgow City","21/07/2022",4,5,5,5,5,0,24
"99","Mental Health Problems","Voluntary or Not for Profit","Oakley Terrace Scheme","Glasgow City","20/12/2022",4,5,4,5,4,0,22
"100","Mental Health Problems","Voluntary or Not for Profit","Woodside Community Mental Health Project","Glasgow City","11/12/2023",5,5,5,5,5,0,25
"101","Mental Health Problems","Voluntary or Not for Profit","Supported Living Services Glasgow South","Glasgow City","05/12/2022",5,5,5,5,5,0,25
"102","Alcohol & Drug Misuse","Voluntary or Not for Profit","Buchanan Lodge","Glasgow City","05/01/2023",4,4,4,4,4,0,20
"103","Mental Health Problems","Voluntary or Not for Profit","Riverside Project","Glasgow City","29/11/2022",4,4,5,5,4,0,22
"104","Older People","Local Authority","Hawthorn House","Glasgow City","29/03/2024",3,3,4,3,3,2,16
"105","Older People","Private","Oxton House Residential Home For Older People","Glasgow City","03/08/2022",3,3,3,4,3,0,16
"106","Older People","Private","Swintonhill Residential Home","Glasgow City","07/09/2022",4,4,4,4,4,0,20
"107","Respite Care and Short Breaks","Local Authority","Respite Unit","Inverclyde","21/09/2020",5,4,5,5,5,0,24
"108","Older People","Voluntary or Not for Profit","Campbell Snowdon House","Inverclyde","06/02/2023",4,6,6,6,4,0,26
"109","Mental Health Problems","Voluntary or Not for Profit","Lynedoch House","Inverclyde","10/08/2022",4,5,5,5,4,0,23
"110","Learning Disabilities","Voluntary or Not for Profit","Westview","Inverclyde","09/12/2022",4,5,4,5,4,0,22
"111","Learning Disabilities","Voluntary or Not for Profit","Quarriers Finnart Street","Inverclyde","09/12/2022",4,5,4,5,5,0,23
"112","Learning Disabilities","Voluntary or Not for Profit","Riverview","Inverclyde","07/12/2022",4,5,5,5,4,0,23
"113","Older People","Voluntary or Not for Profit","South Beach House","North Ayrshire","14/12/2023",4,4,4,4,4,2,20
"114","Older People","Voluntary or Not for Profit","Abbeyfield House Care Home","North Ayrshire","13/02/2023",4,5,5,5,4,1,23
"115","Older People","Private","Haylie House Residential Home","North Ayrshire","22/09/2022",5,4,4,4,5,0,22
"116","Learning Disabilities","Private","Barrington House","North Ayrshire","20/09/2022",4,5,5,4,4,0,22
"117","Older People","Local Authority","Montrose House","North Ayrshire","04/03/2024",3,3,4,3,3,0,16
"118","Learning Disabilities","Private","Phew","North Lanarkshire","03/04/2024",4,4,4,4,3,1,19
"119","Physical and Sensory Impairment","Voluntary or Not for Profit","Wallace Court","Renfrewshire","18/12/2022",4,6,5,5,5,0,25
"120","Older People","Voluntary or Not for Profit","Adams House","Renfrewshire","14/05/2024",4,3,4,3,3,0,17
"121","Learning Disabilities","Private","Beechmount","Renfrewshire","25/09/2023",5,4,4,4,5,0,22
"122","Older People","Local Authority","Hillcrest Residential Unit","South Ayrshire","03/10/2023",5,5,5,5,5,0,25
"123","Learning Disabilities","Local Authority","Chalmers Road","South Ayrshire","03/03/2023",5,5,5,5,4,0,24
"124","Learning Disabilities","Voluntary or Not for Profit","Shawburn","South Ayrshire","04/03/2024",3,4,4,4,4,0,19
"125","Learning Disabilities","Voluntary or Not for Profit","Hansel Cabin Respite Service","South Ayrshire","24/02/2023",5,5,3,5,5,0,23
"126","Learning Disabilities","Voluntary or Not for Profit","Crail / Wilson Houses Small Group Living Services","South Ayrshire","26/10/2022",4,5,4,4,5,0,22
"127","Learning Disabilities","Voluntary or Not for Profit","The Courtyard","South Ayrshire","31/10/2022",5,5,5,5,5,0,25
"128","Older People","Voluntary or Not for Profit","Airlie House","South Ayrshire","18/09/2023",5,4,4,4,5,0,22
"129","Older People","Voluntary or Not for Profit","Cumnor Hall","South Ayrshire","22/04/2024",3,3,4,3,3,1,16
"130","Older People","Private","Dundonald House","South Ayrshire","15/04/2024",6,4,4,4,5,0,23
"131","Older People","Local Authority","South Lodge","South Ayrshire","17/05/2024",5,5,5,5,5,0,25
"132","Older People","Private","Glenfairn House Nursing Home","South Ayrshire","13/05/2024",4,4,4,4,4,1,20
"133","Older People","Local Authority","Meldrum Gardens","South Lanarkshire","09/02/2024",5,5,5,5,5,0,25
"134","Older People","Local Authority","McKillop Gardens","South Lanarkshire","28/07/2022",5,5,5,5,5,0,25
"135","Older People","Local Authority","McClymont House","South Lanarkshire","13/06/2022",5,5,6,5,5,0,26
"136","Older People","Local Authority","David Walker Gardens","South Lanarkshire","24/11/2022",5,5,5,5,4,0,24
"137","Older People","Local Authority","Dewar House","South Lanarkshire","06/02/2023",5,5,4,5,5,0,24
"138","Older People","Voluntary or Not for Profit","Abbeyfield Extra Care House & Templeton House","South Lanarkshire","19/04/2024",3,4,4,3,3,0,17
"139","Learning Disabilities","Voluntary or Not for Profit","Clannalba","South Lanarkshire","26/10/2022",5,4,4,5,5,0,23
"140","Learning Disabilities","Voluntary or Not for Profit","New Ridgepark","South Lanarkshire","16/05/2024",4,4,3,3,3,0,17
"141","Learning Disabilities","Private","Castle Street Care Home, Living Ambitions Limited","South Lanarkshire","13/09/2023",3,3,4,3,3,0,16
"142","Mental Health Problems","Voluntary or Not for Profit","Sheriff Park Service","South Lanarkshire","25/05/2022",5,6,6,6,5,0,28
"143","Learning Disabilities","Voluntary or Not for Profit","Lanark Project","South Lanarkshire","22/09/2022",5,4,5,5,5,0,24
"144","Learning Disabilities","Voluntary or Not for Profit","Threshold Support Services - Residential","South Lanarkshire","30/11/2022",3,4,4,3,3,0,17
"145","Older People","Private","Strathleven Care Home","West Dunbartonshire","08/02/2023",3,4,4,3,3,0,17
"146","Older People","Local Authority","Ladywalk House","Fife","19/09/2023",4,4,4,4,4,0,20
"147","Older People","Local Authority","Matthew Fyfe Care Home","Fife","19/04/2024",4,4,4,3,5,0,20
"148","Older People","Local Authority","Northeden House","Fife","15/04/2024",3,3,3,3,3,0,15
"149","Older People","Local Authority","Methilhaven Care Home","Fife","10/04/2024",5,4,5,5,5,0,24
"150","Respite Care and Short Breaks","Local Authority","78 Broad Street","Fife","20/11/2023",4,5,4,3,5,0,21
"151","Older People","Private","Villa Atina","Fife","08/12/2023",4,4,3,5,4,1,20
"152","Older People","Private","Orchardhead House","Fife","11/12/2023",5,5,5,5,5,0,25
"153","Older People","Voluntary or Not for Profit","Abbeyfield House Care Home","Fife","29/07/2022",5,5,5,5,5,0,25
"154","Older People","Private","Glendale Lodge","Fife","23/06/2022",5,5,5,5,5,1,25
"155","Older People","Voluntary or Not for Profit","Abbeyfield Ballachulish (Care Home)","Highland","09/01/2023",5,6,6,6,5,1,28
"156","Older People","Voluntary or Not for Profit","Cameron House (Care Home)","Highland","21/06/2022",4,5,3,4,4,0,20
"157","Older People","Voluntary or Not for Profit","Whinnieknowe (Care Home)","Highland","07/12/2022",4,4,4,5,4,1,21
"158","Older People","Voluntary or Not for Profit","Oversteps (Care Home)","Highland","14/11/2023",4,4,4,4,3,0,19
"159","Alcohol & Drug Misuse","Voluntary or Not for Profit","Beechwood House","Highland","01/09/2022",4,5,5,4,4,0,22
"160","Older People","Voluntary or Not for Profit","Aden House (Care Home)","Highland","17/08/2023",4,4,4,4,4,1,20
"161","Older People","Voluntary or Not for Profit","Ballifeary House","Highland","06/06/2023",5,4,4,4,5,0,22
"162","Older People","Private","Kintyre House (Care Home)","Highland","24/11/2023",5,5,3,4,5,0,22
"163","Older People","Private","Mull Hall (Care Home)","Highland","13/09/2022",4,4,4,4,5,0,21
"164","Older People","Private","Strathallan House (Care Home)","Highland","11/08/2021",4,4,4,4,4,0,20
"165","Physical and Sensory Impairment","Voluntary or Not for Profit","Cheshire House (Care Home)","Highland","23/10/2019",5,5,6,6,5,0,27
"166","Learning Disabilities","Voluntary or Not for Profit","Fram House","Highland","04/12/2023",5,5,5,5,4,0,24
"167","Respite Care and Short Breaks","Voluntary or Not for Profit","Birchview Respite Unit","Moray","11/01/2023",5,5,4,6,4,0,24
"168","Older People","Private","Glenisla Home","Moray","05/07/2022",5,5,4,4,5,0,23
"169","Older People","Private","Netherha' House","Moray","11/10/2023",4,5,4,5,5,0,23
"170","Older People","Private","Speyside (Care Home)","Moray","16/11/2022",5,4,4,4,5,1,22
"171","Older People","Local Authority","Hamnavoe House","Orkney Islands","13/11/2023",4,4,5,4,4,0,21
"172","Older People","Local Authority","St. Rognvalds House","Orkney Islands","11/12/2023",4,4,4,4,4,0,20
"173","Learning Disabilities","Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Old Scapa Road","Orkney Islands","23/11/2022",4,5,4,4,5,0,22
"174","Learning Disabilities","Voluntary or Not for Profit","Garvald Home Farm","Scottish Borders","12/09/2022",4,5,5,4,4,0,22
"175","Learning Disabilities","Voluntary or Not for Profit","Garvald West Linton","Scottish Borders","06/06/2022",4,5,4,5,4,1,22
"176","Older People","Private","Grange Hall","Scottish Borders","17/04/2023",4,4,4,3,4,1,19
"177","Older People","Private","Queens House","Scottish Borders","08/12/2021",4,4,4,4,4,0,20
"178","Older People","Local Authority","Edward Thomason & Taing Support Services","Shetland Islands","08/04/2024",3,4,4,3,4,2,18
"179","Older People","Voluntary or Not for Profit","Walter & Joan Gray (Care Home)","Shetland Islands","22/07/2022",4,5,4,5,5,0,23
"180","Older People","Local Authority","St Brendan's (Care Home)","Na h-Eileanan Siar","18/04/2023",5,4,4,4,4,0,21
"181","Learning Disabilities","Local Authority","Ardseileach","Na h-Eileanan Siar","13/09/2022",4,4,5,4,4,0,21
"182","Older People","Local Authority","Harris House (Care Home)","Na h-Eileanan Siar","16/06/2022",4,4,6,5,4,0,23
"183","Older People","Voluntary or Not for Profit","Leverburgh Care Home","Na h-Eileanan Siar","20/05/2022",4,4,4,4,4,0,20
"184","Older People","Local Authority","Trianaid (Care Home)","Na h-Eileanan Siar","09/08/2022",4,5,5,5,3,0,22
"185","Older People","Local Authority","Taigh a Chridhe Uile Naomh","Na h-Eileanan Siar","15/12/2023",4,4,4,3,4,0,19
"186","Older People","Local Authority","Dalweem","Perth & Kinross","06/12/2023",5,5,5,5,4,0,24
"187","Older People","Local Authority","Parkdale","Perth & Kinross","12/02/2024",3,5,5,5,3,0,21
"188","Older People","Private","Ashdene House","Perth & Kinross","06/02/2024",4,4,4,4,4,0,20
"189","Learning Disabilities","Voluntary or Not for Profit","Corbenic Camphill Community","Perth & Kinross","03/04/2023",5,3,3,3,5,0,19
"190","Older People","Private","Dalginross House","Perth & Kinross","10/11/2023",3,3,3,3,3,0,15
"191","Older People","Private","Glencairn House","Perth & Kinross","11/09/2023",3,4,4,4,3,0,18
"192","Learning Disabilities","Private","ASC The Grange","Perth & Kinross","22/03/2024",4,4,4,3,3,1,18
"193","Older People","Voluntary or Not for Profit","Hope Park House","Perth & Kinross","27/02/2024",5,4,4,4,4,1,21
"194","Older People","Voluntary or Not for Profit","Kincarrathie House","Perth & Kinross","08/04/2024",3,3,4,4,3,0,17
"195","Older People","Private","North Inch House","Perth & Kinross","15/09/2023",4,4,3,4,4,2,19
"196","Older People","Voluntary or Not for Profit","Robert Douglas Memorial Home","Perth & Kinross","06/04/2023",5,4,4,4,5,0,22
"197","Physical and Sensory Impairment","Voluntary or Not for Profit","Upper Springland Annaty","Perth & Kinross","21/12/2023",4,4,4,4,4,0,20
"198","Older People","Voluntary or Not for Profit","Viewlands House","Perth & Kinross","18/03/2024",5,4,5,5,5,0,24
"199","Older People","Private","Wardside House","Perth & Kinross","20/07/2022",4,4,5,5,3,0,21
"200","Older People","Voluntary or Not for Profit","Erskine Home","Renfrewshire","20/09/2023",5,4,4,4,5,1,22
"201","Older People","Voluntary or Not for Profit","Bagatelle","Inverclyde","03/01/2024",5,5,4,4,5,0,23
"202","Older People","Voluntary or Not for Profit","Glenfield","Inverclyde","25/11/2022",4,5,5,5,5,0,24
"203","Older People","Private","Inchinnan Care Home","Renfrewshire","22/01/2024",3,3,3,3,4,0,16
"204","Older People","Private","Nightingale House","Renfrewshire","17/08/2022",4,4,4,4,4,1,20
"205","Older People","Private","Morar Lodge Nursing Home","Argyll & Bute","23/05/2024",4,4,4,4,4,0,20
"206","Older People","Private","Abbotsford Nursing Home","North Ayrshire","23/05/2022",5,5,5,5,5,0,25
"207","Older People","Private","Ainslie Manor Nursing Home","South Ayrshire","25/01/2024",4,4,4,4,4,1,20
"208","Older People","Private","Bellevue Nursing Home","South Ayrshire","02/06/2022",5,4,3,5,5,0,22
"209","Older People","Private","Buckreddan Care Centre","North Ayrshire","15/11/2023",3,3,3,3,3,5,15
"210","Mental Health Problems","Private","Hollybush House","East Ayrshire","14/02/2019",5,5,5,5,4,0,24
"211","Older People","Private","Howard House Nursing & Residential Home","East Ayrshire","29/04/2024",5,4,5,5,5,2,24
"212","Older People","Private","Redford Nursing Home","South Ayrshire","04/08/2023",4,4,4,4,4,0,20
"213","Older People","Private","Suncourt Nursing Home","South Ayrshire","13/05/2024",3,4,5,4,4,1,20
"214","Older People","Private","Temple House Care Home","South Ayrshire","17/10/2023",4,4,4,5,5,1,22
"215","Learning Disabilities","Private","Townend Nursing Home","South Ayrshire","31/10/2022",4,4,5,4,4,0,21
"216","Older People","Private","Galashiels Nursing Home","Scottish Borders","18/12/2023",3,3,4,4,3,2,17
"217","Older People","Private","Knowesouth Care Centre","Scottish Borders","30/04/2024",3,3,4,3,3,1,16
"218","Older People","Private","Riverside Healthcare Centre","Scottish Borders","11/10/2023",3,3,3,3,3,0,15
"219","Older People","Private","Bandrum Nursing Home","Fife","09/05/2024",3,4,3,3,3,0,16
"220","Older People","Private","Pitlair House Nursing Home","Fife","05/03/2024",5,4,4,4,5,0,22
"221","Older People","Private","Lunardi Court","Fife","29/04/2024",5,4,4,4,4,2,21
"222","Older People","Private","Abbeyvale (Care Home)","Moray","02/03/2023",5,4,5,5,5,0,24
"223","Older People","Private","Annesley House Care Home","Aberdeenshire","03/04/2024",3,3,3,3,3,1,15
"224","Older People","Private","Culsh House Care Home","Aberdeenshire","14/06/2022",5,4,5,5,5,0,24
"225","Older People","Private","Drumdarroch House Nursing Home","Aberdeenshire","22/11/2023",4,4,5,4,4,0,21
"226","Older People","Private","Inchmarlo House","Aberdeenshire","01/05/2023",3,4,4,4,3,1,18
"227","Older People","Private","Mowat Court Nursing Home","Aberdeenshire","09/02/2023",4,5,4,5,5,0,23
"228","Older People","Private","Birdston","East Dunbartonshire","22/01/2024",4,5,5,5,4,0,23
"229","Older People","Private","Lillyburn","East Dunbartonshire","18/01/2024",5,5,5,5,5,0,25
"230","Older People","Private","Campsie View","East Dunbartonshire","04/08/2023",4,4,3,5,5,1,21
"231","Mental Health Problems","Private","Southview","South Lanarkshire","17/05/2024",2,2,2,2,2,0,10
"232","Older People","Private","Greencross","South Lanarkshire","02/04/2024",5,4,4,4,4,0,21
"233","Older People","Private","Edinbarnet","West Dunbartonshire","13/09/2023",4,4,4,4,4,0,20
"234","Older People","Private","Chester Park Care Home","Glasgow City","23/05/2023",5,4,4,5,5,0,23
"235","Older People","Private","Florence House","Glasgow City","19/02/2024",4,4,4,4,4,2,20
"236","Older People","Private","Oakbridge Care Home","Glasgow City","03/01/2024",4,4,4,4,4,1,20
"237","Older People","Private","Applecross Nursing Home","Glasgow City","13/04/2023",4,4,4,4,5,0,21
"238","Older People","Voluntary or Not for Profit","Burnfield","East Renfrewshire","20/05/2024",5,5,5,5,5,0,25
"239","Older People","Voluntary or Not for Profit","Westacres","East Renfrewshire","27/02/2024",4,4,4,4,3,1,19
"240","Older People","Private","Riverside House Care Home","Highland","09/02/2024",4,4,4,4,3,0,19
"241","Learning Disabilities","Private","Fairburn House","Highland","30/08/2022",5,5,5,5,4,0,24
"242","Learning Disabilities","Private","Seaforth House Ltd (Care Home)","Highland","31/01/2024",4,4,4,4,4,0,20
"243","Mental Health Problems","Voluntary or Not for Profit","Birchwood Highland Recovery Centre","Highland","05/01/2024",4,3,3,4,3,0,17
"244","Older People","Private","Southside Care Home","Highland","15/07/2022",4,4,4,4,4,0,20
"245","Older People","Private","Avondale Nursing Home","North Lanarkshire","15/08/2023",4,4,4,4,4,1,20
"246","Older People","Private","Craig En Goyne","North Lanarkshire","28/04/2023",4,4,5,4,4,0,21
"247","Older People","Private","Cumbernauld Care Home","North Lanarkshire","14/05/2024",4,4,4,4,4,0,20
"248","Older People","Voluntary or Not for Profit","Darroch Nursing Home","North Lanarkshire","11/12/2023",4,4,4,5,3,2,20
