"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Other than Care at home","Private","The Deirdre Knight Centre","Forfar","Adults","01/06/2018",5,5,5,5,5,"18/05/2018","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Kirriemuir Day Care","Kirriemuir","Adults","08/01/2024",3,2,3,3,3,"13/12/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","The Adam Centre","Montrose","Adults","16/06/2016",5,5,6,5,5,"30/03/2016","2002_4",0,0
"Other than Care at home","Local Authority","Woodlands Centre","Campbeltown","Adults","21/07/2017",5,5,4,5,5,"24/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","Thomson Court Day Care","Isle Of Bute","Adults","08/11/2017",5,5,4,5,4,"28/09/2017","2002_4",0,0
"Other than Care at home","Local Authority","Lorne Resource Centre","Oban","Adults","29/01/2018",4,4,4,4,3,"08/11/2017","2002_4",0,0
"Other than Care at home","Local Authority","Day Opportunities South","Cumnock","Adults","11/01/2018",6,6,4,4,5,"20/09/2017","2002_4",0,0
"Other than Care at home","Local Authority","Balmoral Road Day Service","Kilmarnock","Adults","12/12/2023",4,5,4,4,4,"24/11/2023","2002_4",0,0
"Care at Home","Local Authority","Stewarton Day Care","Kilmarnock","Adults","10/01/2017",5,5,5,5,5,"30/11/2016","2002_4",0,0
"Care at Home","Local Authority","Rosebank Resource Centre","Kilmarnock","Adults","20/03/2013",5,5,5,5,5,"18/02/2016","2002_4",0,0
"Care at Home","Local Authority","Auchinleck Community and Resource Centre","Cumnock","Adults","23/07/2018",5,5,5,5,5,"15/05/2018","2002_4",0,0
"Other than Care at home","Private","Birdston Day Care Centre","Glasgow","Adults","14/08/2018",6,6,5,6,6,"07/06/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Age Concern Eastwood Dementia Project","Glasgow","Adults","07/07/2016",6,6,6,6,6,"31/05/2016","2002_4",0,0
"Other than Care at home","Local Authority","Kirkton Service","Glasgow","Adults","15/08/2019",5,5,5,5,4,"23/07/2019","2002_4",0,0
"Care at Home","Local Authority","Community Pathways","Glasgow","Adults","03/04/2024",5,4,6,5,5,"25/03/2024","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Dixon Centre And Community Care Project","Glasgow","Adults","13/08/2019",4,4,5,5,5,"03/07/2019","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Hayfield Support Services with Deaf People","Glasgow","Adults","20/06/2018",4,4,4,5,4,"15/05/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Abbie Resource Base","Glasgow","Adults","13/09/2023",5,4,5,6,4,"21/08/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Touchbase Adult Support Services","Glasgow","Adults","16/03/2018",5,5,5,4,4,"05/03/2018","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Alzheimer Scotland - Glasgow Service","Glasgow","Adults","11/07/2023",5,5,5,5,4,"25/05/2023","2002_4",0,0
"Other than Care at home","Local Authority","Carlton Centre","Glasgow","Adults","03/01/2024",4,4,4,4,4,"22/11/2023","2002_4",0,0
"Other than Care at home","Local Authority","Focal Point Day Centre","Glasgow","Adults","06/06/2017",4,4,5,4,4,"16/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","Woodside Day Centre","Glasgow","Adults","08/02/2018",5,5,4,5,5,"21/12/2017","2002_4",0,0
"Other than Care at home","Local Authority","Riddrie Resource Centre","Glasgow","Adults","20/06/2018",4,4,5,4,4,"20/04/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Alzheimer Scotland - Glasgow Younger Persons Service","Glasgow","Adults","11/07/2023",5,5,5,6,4,"01/06/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Rainbow Friendship Centre","Glasgow","Adults","16/02/2016",5,5,5,4,4,"09/12/2015","2002_4",0,0
"Other than Care at home","Local Authority","Hawthorn House Day Care","Glasgow","Adults","04/12/2018",6,6,6,5,5,"25/07/2018","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Junction 52","Glasgow","Adults","26/10/2023",4,5,6,6,3,"19/09/2023","2002_4",0,0
"Care at Home","Local Authority","Inverclyde Day Services","Greenock","Adults","09/05/2013",5,5,6,5,5,"21/01/2016","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Alzheimer Scotland - Inverclyde Project","Greenock","Adults","27/10/2023",5,5,5,5,5,"07/09/2023","2002_4",0,0
"Other than Care at home","Local Authority","Dirrans Centre","Kilwinning","Adults","13/11/2017",6,6,6,6,6,"06/10/2017","2002_4",0,0
"Other than Care at home","Local Authority","Cumbernauld Locality","Glasgow","Adults","16/10/2023",5,6,5,5,5,"25/09/2023","2002_4",0,0
"Other than Care at home","Local Authority","Cumbernauld and Kilsyth Integrated Day Services","Cumbernauld","Adults","09/10/2019",5,5,5,5,5,"14/06/2019","2002_4",0,0
"Other than Care at home","Local Authority","Coatbridge Locality","Coatbridge","Adults","14/06/2023",5,5,5,5,5,"26/05/2023","2002_4",0,0
"Other than Care at home","Local Authority","Wishaw & Shotts Integrated Day Service","Wishaw","Adults","08/05/2017",4,4,4,4,4,"24/03/2017","2002_4",0,0
"Other than Care at home","Local Authority","Wishaw Locality","Wishaw","Adults","07/07/2023",5,5,4,5,5,"12/06/2023","2002_4",0,0
"Other than Care at home","Local Authority","Airdrie Locality","Airdrie","Adults","12/06/2023",5,6,5,5,5,"16/05/2023","2002_4",0,0
"Other than Care at home","Local Authority","The New Harry Walker Integrated Day Services","Airdrie","Adults","06/09/2023",5,5,5,5,3,"27/07/2023","2002_4",0,0
"Other than Care at home","Local Authority","Bellshill Locality","Bellshill","Adults","17/07/2023",5,5,5,5,5,"23/06/2023","2002_4",0,0
"Care at Home","Local Authority","Anchor Centre","Paisley","Adults","08/04/2024",5,4,5,4,4,"14/03/2024","2002_4",0,0
"Other than Care at home","Local Authority","Disability Resource Centre","Paisley","Adults","01/11/2016",6,6,5,6,6,"29/09/2016","2002_4",0,0
"Other than Care at home","Local Authority","Day Opportunities - Milldale","Paisley","Adults","27/06/2016",4,4,4,4,4,"15/06/2016","2002_4",0,0
"Other than Care at home","Local Authority","The Mirin","Paisley","Adults","30/01/2017",4,4,4,4,4,"28/11/2016","2002_4",0,0
"Other than Care at home","Local Authority","Meldrum House","Glasgow","Adults","17/07/2017",5,5,5,5,5,"05/06/2017","2002_4",0,0
"Other than Care at home","Local Authority","Harry Heaney Centre","Glasgow","Adults","17/06/2019",5,5,5,5,5,"10/05/2019","2002_4",0,0
"Other than Care at home","Local Authority","Lesmahagow Neighbourhood Centre","Lanark","Adults","08/03/2017",5,5,6,5,5,"07/02/2017","2002_4",0,0
"Other than Care at home","Local Authority","Lifestyle Lanark, Harry Smith Complex","Lanark","Adults","25/09/2015",6,6,6,6,6,"12/08/2015","2002_4",0,0
"Other than Care at home","Local Authority","South Lanarkshire Lifestyles East Kilbride","Glasgow","Adults","09/01/2017",5,5,5,5,5,"13/12/2016","2002_4",0,0
"Other than Care at home","Local Authority","South Lanarkshire Lifestyles Eastfield","Glasgow","Adults","20/12/2017",5,5,5,5,4,"15/11/2017","2002_4",0,0
"Other than Care at home","Local Authority","South Lanarkshire Lifestyles - Stonehouse","Larkhall","Adults","26/06/2017",5,5,5,4,5,"26/05/2017","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","West End Project - Dumbarton","Dumbarton","Adults","20/01/2020",5,5,6,6,6,"14/01/2020","2002_4",0,0
"Other than Care at home","Local Authority","Dumbarton Centre","Dumbarton","Adults","22/02/2016",5,5,5,4,4,"30/10/2015","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Leonard Cheshire GLAD Support Service","Glenrothes","Adults","31/05/2023",5,4,4,4,5,"18/05/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Laurandy Day Centre","Wick","Adults","16/05/2019",6,6,5,5,6,"19/03/2019","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Alzheimer Scotland - Ross-shire Service","Tain","Adults","26/06/2023",5,5,4,5,5,"09/06/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Kyleakin Connections","Isle Of Skye","Adults","12/04/2017",6,6,5,5,5,"31/03/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","L'Arche Highland","Inverness","Adults","17/12/2018",5,5,5,4,5,"29/04/2024","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Redcastle Station","Muir Of Ord","Adults","11/02/2019",5,5,4,4,5,"18/01/2019","2002_4",0,0
"Other than Care at home","Local Authority","Cedarwood Day Centre","Elgin","Adults","09/09/2016",5,5,5,5,5,"12/08/2016","2002_4",0,0
"Other than Care at home","Local Authority","Artiquins","Elgin","Adults","29/02/2016",4,4,5,5,4,"17/02/2016","2002_4",0,0
"Other than Care at home","Local Authority","Keith Resource Centre","Keith","Adults","19/04/2018",4,4,5,5,5,"14/03/2018","2002_4",0,0
"Other than Care at home","Private","Loch Park Adventure Centre, Living Ambitions Limited","Keith","Adults","07/07/2017",5,5,4,5,4,"21/04/2017","2002_4",0,0
"Other than Care at home","Local Authority","Gilbertson Day Centre","Kirkwall","Adults","09/08/2017",4,4,4,4,4,"06/07/2017","2002_4",0,0
"Other than Care at home","Local Authority","Glaitness Centre (Support Service)","Kirkwall","Adults","02/11/2023",5,4,4,4,5,"09/10/2023","2002_4",0,0
"Other than Care at home","Local Authority","Lifestyles Service","Kirkwall","Adults","06/12/2023",5,5,5,5,5,"08/11/2023","2002_4",0,0
"Other than Care at home","Local Authority","West Mainland Day Centre","Orkney","Adults","27/11/2023",5,4,4,5,4,"31/10/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Garvald West Linton Day Services","West Linton","Adults","02/08/2023",5,4,5,4,4,"20/07/2023","2002_4",0,0
"Other than Care at home","Local Authority","Eric Gray@Seafield","Shetland","Adults","22/11/2023",5,6,6,5,5,"12/10/2023","2002_4",0,0
"Other than Care at home","Local Authority","Craigard Day Centre","Isle Of Benbecula","Adults","15/01/2018",5,5,3,5,4,"01/12/2017","2002_4",0,0
"Care at Home","Local Authority","Grianan Resource Centre","Stornoway","Adults","01/05/2023",5,4,4,4,4,"29/03/2023","2002_4",0,0
"Care at Home","Local Authority","Barra Day Centre","Isle Of Barra","Adults","08/09/2020",6,6,5,5,5,"28/11/2019","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Cobhair Bharraigh SCIO","Isle Of Barra","Adults","18/08/2020",5,5,6,5,5,"27/11/2019","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Solas Day Centre","Stornoway","Adults","24/11/2023",5,6,5,5,5,"30/10/2023","2002_4",0,0
"Other than Care at home","Local Authority","Blairgowrie Day Opportunities","Blairgowrie","Adults","13/11/2023",5,5,5,5,4,"10/08/2023","2002_4",0,0
"Care at Home","Local Authority","Gleneagles Day Opportunities","Perth","Adults","25/04/2023",5,5,5,4,5,"23/03/2023","2002_4",0,0
"Care at Home","Local Authority","Kinnoull Day Opportunities","Perth","Adults","20/10/2023",5,6,6,6,5,"23/08/2023","2002_4",0,0
"Other than Care at home","Local Authority","Dumfries Activity & Resource Centre","Dumfries","Adults","08/08/2017",4,4,5,5,4,"29/06/2017","2002_4",0,0
"Other than Care at home","Local Authority","Kirkconnel ARC","Sanquhar","Adults","28/06/2016",4,4,5,5,4,"06/05/2016","2002_4",0,0
"Other than Care at home","Local Authority","Annan Activity & Resource Centre","Annan","Adults","24/06/2016",5,5,4,5,4,"05/05/2016","2002_4",0,0
"Other than Care at home","Local Authority","Castle Douglas Activity & Resource Centre","Castle Douglas","Adults","05/09/2017",5,5,5,5,5,"03/08/2017","2002_4",0,0
"Other than Care at home","Local Authority","Newton Stewart Activity & Resource Centre","Newton Stewart","Adults","23/08/2017",6,6,6,6,6,"21/07/2017","2002_4",0,0
"Other than Care at home","Local Authority","Stranraer Activity & Resource Centre","Stranraer","Adults","14/07/2017",6,6,5,6,5,"30/06/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","New Directions Community Support Services","Livingston","Adults","27/02/2024",5,5,NA,3,4,"06/02/2024","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Visualise Scotland - Day Service","Musselburgh","Adults","21/08/2017",5,5,5,5,4,"30/06/2017","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Autism Resource Centre, Musselburgh","Musselburgh","Adults","29/05/2017",5,5,4,5,4,"03/05/2017","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Columcille","Edinburgh","Adults","08/08/2017",5,5,5,5,5,"01/06/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Capability Scotland (Riccarton)","Edinburgh","Adults","14/03/2023",5,5,6,5,5,"24/01/2023","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Capability Scotland Edinburgh","Edinburgh","Adults","04/04/2023",5,5,6,5,5,"26/01/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","The Redwoods Caring Foundation - Day Service","Edinburgh","Adults","11/03/2024",5,5,5,5,5,"20/02/2024","2002_4",0,0
"Other than Care at home","Local Authority","Dundas Resource/Day Centre","Grangemouth","Adults","18/09/2017",6,6,6,5,5,"31/07/2017","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Scottish Autism - Central Area Services","Alloa","Adults","22/11/2016",6,6,5,6,5,"06/10/2016","2002_4",0,0
"Other than Care at home","Local Authority","Oswald Avenue Day Centre","Grangemouth","Adults","10/08/2017",5,5,6,5,5,"26/07/2017","2002_4",0,0
"Other than Care at home","Local Authority","Whins/Centre Space","Alloa","Adults","19/02/2018",5,5,5,5,5,"26/01/2018","2002_4",0,0
"Other than Care at home","Local Authority","Linnburn Day Care","Aberlour","Adults","28/03/2017",5,5,4,5,4,"06/03/2017","2002_4",0,0
"Other than Care at home","Local Authority","Moray Resource Centre","Elgin","Adults","18/06/2018",5,5,5,5,5,"03/05/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Garvald Edinburgh - Gorgie Road","Edinburgh","Adults","07/09/2023",6,6,5,5,6,"30/08/2023","2002_4",0,0
"Other than Care at home","Local Authority","New Rannoch","Perth","Adults","25/02/2020",5,5,6,6,5,"23/09/2019","2002_4",0,0
"Other than Care at home","Local Authority","Leng Resource Centre","Newport-On-Tay","Adults","09/09/2016",6,6,5,4,5,"14/07/2016","2002_4",0,0
"Other than Care at home","Local Authority","Lindsay House Day Service","Lumphinans","Adults","25/04/2018",4,4,4,5,4,"22/03/2018","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Bealach House Day Centre","Glasgow","Adults","04/07/2023",5,6,5,5,5,"29/06/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Alzheimer Scotland - Falkirk Services","Larbert","Adults","12/06/2023",5,5,5,5,5,"18/05/2023","2002_4",0,0
"Other than Care at home","Local Authority","Lochside","Lochgilphead","Adults","04/01/2018",6,6,4,4,5,"29/11/2017","2002_4",0,0
"Care at Home","Local Authority","Tynebank Resource Centre","Haddington","Adults","13/05/2016",5,5,5,4,5,"04/04/2024","2002_4",0,0
"Other than Care at home","Local Authority","Port Seton Resource Centre","Prestonpans","Adults","12/06/2019",4,4,5,4,3,"14/05/2019","2002_4",0,0
"Other than Care at home","Local Authority","Musselburgh Area Service","Musselburgh","Adults","25/04/2018",5,5,5,4,5,"15/03/2018","2002_4",0,0
"Care at Home","Local Authority","Edinburgh Community Rehabilitation and Support Service","Edinburgh","Adults","04/07/2017",5,5,5,5,5,"03/03/2014","2002_4",0,0
"Care at Home","Local Authority","Edinburgh Support Services - Community Support","Edinburgh","Adults","23/08/2023",4,4,5,4,4,"04/08/2023","2002_4",0,0
"Care at Home","Local Authority","Be Able South","Edinburgh","Adults","20/03/2023",5,5,5,5,4,"01/03/2023","2002_4",0,0
"Other than Care at home","Local Authority","Fitzgerald Centre","Greenock","Adults","15/03/2018",5,5,5,5,5,"26/01/2018","2002_4",0,0
"Other than Care at home","Local Authority","East Fife Community Support Services","Leven","Adults","20/10/2017",6,6,5,5,6,"23/06/2017","2002_4",0,0
"Other than Care at home","Local Authority","Central Fife Community Support Service","Kirkcaldy","Adults","01/08/2017",5,5,4,4,5,"12/07/2017","2002_4",0,0
"Other than Care at home","Local Authority","St. David's Resource Centre","St. Andrews","Adults","23/03/2017",6,6,5,5,5,"15/03/2017","2002_4",0,0
"Other than Care at home","Local Authority","Jean Mackie Centre","Dunfermline","Adults","29/05/2019",5,5,5,5,5,"26/04/2019","2002_4",0,0
"Other than Care at home","Local Authority","Ability Centre Support Services","Livingston","Adults","20/02/2017",5,5,5,5,5,"05/10/2016","2002_4",0,0
"Other than Care at home","Local Authority","Pathways","Livingston","Adults","25/05/2017",6,6,5,5,5,"18/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","Eliburn Day Centre","Livingston","Adults","06/07/2016",5,5,5,5,4,"10/05/2016","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Miller Street Dementia Resource Centre","Clydebank","Adults","14/08/2023",5,5,5,5,4,"03/07/2023","2002_12",0,0
"Other than Care at home","Local Authority","Rosehill Adult Resource Centre","Montrose","Adults","27/07/2016",5,5,5,5,5,"21/06/2016","2003_4",0,0
"Other than Care at home","Local Authority","Short Breaks for Children (Support Service)","Shetland","Adults","29/03/2024",5,3,5,5,4,"08/02/2024","2003_4",0,0
"Care at Home","Voluntary or Not for Profit","The Inclusion Group","Dundee","Adults","26/02/2024",4,4,3,4,4,"16/01/2024","2003_4",0,0
"Care at Home","Local Authority","Be Able North","Edinburgh","Adults","21/09/2023",5,5,4,5,4,"21/08/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Clashfarquhar House","Stonehaven","Adults","16/07/2018",5,5,4,5,4,"06/06/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Beannachar","Aberdeen","Adults","19/02/2018",5,5,6,5,6,"19/01/2018","2002_4",0,0
"Other than Care at home","Private","Bonnyton House","Ellon","Adults","28/09/2018",5,5,4,4,5,"21/08/2018","2002_4",0,0
"Other than Care at home","Local Authority","Phoenix","Isle Of Bute","Adults","22/02/2016",5,5,4,5,5,"23/10/2015","2002_4",0,0
"Other than Care at home","Local Authority","Struan Daycare","Dunoon","Adults","16/09/2016",4,4,5,5,4,"17/08/2016","2002_4",0,0
"Care at Home","Local Authority","Lynnside Day Centre","Oban","Adults","19/04/2017",5,5,5,5,4,"29/03/2017","2002_4",0,0
"Other than Care at home","Local Authority","White Top Centre - Support Service","Dundee","Adults","20/08/2019",6,5,6,6,6,"31/07/2019","2002_4",0,0
"Other than Care at home","Local Authority","Glenwood Day Care Centre","Glasgow","Adults","28/09/2017",5,5,6,5,5,"17/08/2017","2002_4",0,0
"Other than Care at home","Local Authority","Gowanlea Day Service","Kilbirnie","Adults","24/05/2017",5,5,5,4,5,"13/04/2017","2002_4",0,0
"Other than Care at home","Local Authority","Falcon Day Centre","Paisley","Adults","23/05/2017",6,6,5,5,5,"19/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","Johnstone Day Centre","Johnstone","Adults","01/08/2017",6,6,6,5,5,"22/06/2017","2002_4",0,0
"Other than Care at home","Local Authority","Ralston Day Centre","Paisley","Adults","06/06/2017",6,6,5,5,5,"05/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","South Lanarkshire Lifestyles - Fairhill","Hamilton","Adults","22/02/2019",5,5,5,5,5,"22/01/2019","2002_4",0,0
"Other than Care at home","Local Authority","Napier House Day Services","Fife","Adults","21/12/2017",5,5,5,5,5,"08/12/2017","2002_4",0,0
"Other than Care at home","Local Authority","Ladywalk House","Anstruther","Adults","19/06/2018",5,5,5,5,5,"15/03/2018","2002_4",0,0
"Other than Care at home","Local Authority","Northeden Day Care","Cupar","Adults","20/08/2019",5,5,5,5,5,"02/07/2019","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Abbeyfield Ballachulish (Support Service)","Ballachulish","Adults","27/09/2018",6,6,5,6,6,"28/08/2018","2002_4",0,0
"Care at Home","Private","Strathallan House (Support Service)","Strathpeffer","Adults","14/03/2019",4,4,4,4,4,"14/02/2019","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Cheshire House (Support Service)","Inverness","Adults","21/03/2024",4,5,NA,5,4,"22/02/2024","2002_4",0,0
"Other than Care at home","Local Authority","Taing House (Support Service)","Shetland","Adults","31/10/2023",5,5,4,4,5,"12/10/2023","2002_4",0,0
"Other than Care at home","Local Authority","Parkdale","Auchterarder","Adults","05/03/2020",3,3,5,3,3,"07/08/2019","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Upper Springland","Perth","Adults","29/11/2023",5,6,6,6,5,"08/11/2023","2002_4",0,0
"Other than Care at home","Local Authority","Highbank Day Centre for Older People","Dalkeith","Adults","09/02/2017",4,4,4,4,4,"18/01/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Alzheimer Scotland - Dundee","Dundee","Adults","28/04/2016",6,6,6,6,5,"17/03/2016","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Capability Scotland Dundee","Dundee","Adults","21/09/2023",5,5,5,5,5,"18/08/2023","2002_4",0,0
"Care at Home","Local Authority","Cherry Road Resource Centre","Bonnyrigg","Adults","03/05/2023",4,5,3,5,4,"14/03/2023","2002_4",0,0
"Other than Care at home","Local Authority","Castle Crags","Edinburgh","Adults","25/01/2016",4,4,5,5,5,"18/11/2015","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Glenurquhart Centre (Support Service)","Inverness","Adults","26/07/2023",4,4,4,4,4,"10/07/2023","2002_4",0,0
"Other than Care at home","Local Authority","CAT (Community Access Team)","Dalkeith","Adults","01/09/2023",5,4,5,4,3,"09/08/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Kinross Centre","Kinross","Adults","09/03/2017",6,6,5,5,5,"03/02/2017","2005_12",0,0
"Other than Care at home","Voluntary or Not for Profit","Mid-Lin Day Care","Dundee","Adults","03/11/2017",5,5,5,4,5,"19/09/2017","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Connections","Glasgow","Adults","01/10/2019",6,6,6,6,6,"25/07/2019","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Alzheimer Scotland - North Ayrshire Day Care Services","Ardrossan","Adults","28/08/2019",5,5,4,5,5,"12/07/2019","2002_4",0,0
"Other than Care at home","Local Authority","Burns Day Service","Irvine","Adults","25/06/2018",4,4,4,4,4,"21/05/2018","2002_4",0,0
"Other than Care at home","Local Authority","Stronach Day Service","Isle Of Arran","Adults","09/06/2017",4,4,5,4,4,"05/05/2017","2002_4",0,0
"Other than Care at home","Local Authority","Stevenson Day Care and Resource Centre","Largs","Adults","12/06/2019",5,5,5,5,4,"08/05/2019","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","Alzheimer Scotland - Renfrewshire Services","Paisley","Adults","11/01/2017",6,6,6,6,5,"01/12/2016","2002_4",0,0
"Other than Care at home","Local Authority","Sir John Mann Integrated Day Service","Bellshill","Adults","23/02/2024",5,4,4,5,5,"12/01/2024","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","PLUS","Stirling","Adults","17/08/2023",3,4,5,5,4,"26/07/2023","2003_6",0,0
"Other than Care at home","Local Authority","Wellgate Day Support Service","Dundee","Adults","16/03/2016",6,6,6,6,6,"25/02/2016","2003_12",0,0
"Other than Care at home","Voluntary or Not for Profit","Corbenic Camphill Community","Dunkeld","Adults","16/11/2023",5,4,5,4,4,"30/10/2023","2004_9",0,0
"Other than Care at home","Local Authority","Falkirk Activity Scheme","Camelon","Adults","16/10/2018",5,5,5,5,5,"27/08/2018","2004_3",0,0
"Care at Home","Voluntary or Not for Profit","Queensferry Churches Care in the Community","South Queensferry","Adults","29/03/2023",4,4,5,5,5,"06/03/2023","2003_8",0,0
"Other than Care at home","Local Authority","Overmills","Ayr","Adults","13/06/2019",5,5,5,5,5,"17/04/2019","2002_4",0,0
"Other than Care at home","Local Authority","Sinclair Integrated Day Service","Coatbridge","Adults","03/05/2023",5,4,5,5,4,"14/04/2023","2003_8",0,0
"Other than Care at home","Private","Alanmart Day Care","Larbert","Adults","11/04/2024",6,6,5,5,6,"26/03/2024","2003_12",0,0
"Care at Home","Local Authority","Nursery Court Day Service","Girvan","Adults","27/03/2023",5,6,6,5,5,"03/03/2023","2002_4",0,0
"Other than Care at home","Local Authority","Thistle Day Service","Stevenston","Adults","15/05/2018",4,4,4,4,4,"09/04/2018","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Autism Outreach Service (Dundee)","Dundee","Adults","04/01/2018",5,5,5,5,5,"29/12/2017","2004_5",0,0
"Other than Care at home","Voluntary or Not for Profit","Connect - Support Service","Kilmarnock","Adults","28/07/2023",5,5,4,5,5,"05/07/2023","2002_4",0,0
"Other than Care at home","Voluntary or Not for Profit","Hamilton Towers Resource Centre","Hamilton","Adults","20/07/2018",4,4,4,4,4,"18/06/2018","2003_9",0,0
"Other than Care at home","Local Authority","Girvan Opportunities","Girvan","Adults","05/06/2017",6,6,5,5,5,"24/04/2017","2002_4",0,0
"Care at Home","Voluntary or Not for Profit","LifeCare - Dean Club","Edinburgh","Adults","11/05/2016",6,6,5,6,5,"21/04/2016","2004_3",0,0
"Other than Care at home","Voluntary or Not for Profit","Libertus Services","Edinburgh","Adults","03/08/2023",5,4,4,5,5,"18/07/2023","2004_7",0,0
"Other than Care at home","Local Authority","Parkhall House","Glasgow","Adults","27/08/2018",5,5,5,5,4,"03/08/2018","2004_1",0,0
