"Subtype","Provider","Name","Town","Clients","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 21/22","Enforcements since 21/22"
NA,"Voluntary or Not for Profit","East Dunbartonshire Phase 2","Glasgow","Adults","08/07/2023",5,4,NA,4,4,"01/06/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","East Dunbartonshire Phase 3","Glasgow","Adults","29/06/2023",4,4,NA,4,4,"06/06/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Stopover Project","Glasgow","Adults","21/09/2021",5,5,NA,5,4,"11/09/2021","2004_9",0,0
NA,"Voluntary or Not for Profit","James Shields Project","Glasgow","Adults","21/03/2023",3,3,NA,3,3,"03/02/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Quarriers South Ayrshire Youth Support Service","Ayr","Adults","01/07/2019",5,5,NA,5,4,"29/05/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Quarriers Supported Youth Housing Project","Glasgow","Adults","30/10/2018",5,5,NA,5,5,"28/08/2018","2004_12",0,0
NA,"Voluntary or Not for Profit","ABC Supported Living","Greenock","Adults","14/10/2019",6,6,NA,5,5,"27/10/2023","2004_10",0,0
NA,"Private","Thorntoun Supported Living Services","Kilmarnock","Adults","25/02/2022",4,3,NA,3,3,"05/11/2021","2004_7",0,0
NA,"Voluntary or Not for Profit","Scottish Veterans Residences - Whitefoord House","Edinburgh","Adults","27/09/2018",5,5,NA,4,4,"31/07/2018","2004_9",0,0
NA,"Local Authority","Viewfield Gate","Ayr","Adults","26/09/2023",4,5,NA,5,4,"07/09/2023","2004_12",0,0
NA,"Local Authority","South Ayrshire Sheltered Housing Wardens","Ayr","Adults","11/10/2017",5,5,NA,5,6,"21/08/2017","2005_1",0,0
NA,"Voluntary or Not for Profit","Hillcrest Homes Tenancy Support Service","Dundee","Adults","13/07/2023",4,5,NA,5,3,"26/05/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","The Abbeyfield (Monifieth) Society Limited","Dundee","Adults","16/06/2023",4,3,NA,3,2,"31/05/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Edinburgh Young Persons Service","Edinburgh","Adults","14/08/2018",6,6,NA,6,6,"28/06/2018","2004_7",0,0
NA,"Voluntary or Not for Profit","Fife Support Service","Kirkcaldy","Adults","05/09/2023",5,5,NA,5,5,"15/08/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Abbeyfield Breadalbane Society Limited","Aberfeldy","Adults","18/10/2017",6,6,NA,5,5,"10/10/2017","2004_10",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Perth & Kinross","Perth","Adults","13/06/2023",4,4,NA,4,4,"18/05/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Stirling, Clackmannanshire and Falkirk","Stirling","Adults","14/03/2023",5,5,NA,5,4,"03/02/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - North Lanarkshire","Wishaw","Adults","22/03/2023",5,5,NA,4,3,"20/02/2023","2004_8",2,2
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - South Lanarkshire 1","East Kilbride","Adults","04/03/2020",5,5,NA,5,6,"31/01/2020","2004_8",1,1
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - North Ayrshire Housing Support Service","Stevenston","Adults","02/11/2022",4,3,NA,3,4,"22/09/2022","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - South & East Ayrshire Housing Support","Cumnock","Adults","09/11/2023",4,4,NA,4,4,"27/10/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - East Renfrewshire & South Lanarkshire 2","Glasgow","Adults","11/09/2019",6,6,NA,5,6,"03/05/2019","2004_8",2,2
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - East & West Dunbartonshire Supported Living Services","Glasgow","Adults","19/05/2023",5,5,NA,6,4,"18/04/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Glasgow South West & East Housing Support","Glasgow","Adults","06/06/2023",5,5,NA,5,5,"15/05/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Glasgow South Central Housing Support Service","Glasgow","Adults","04/04/2023",5,5,NA,5,4,"02/03/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Renfrewshire and Inverclyde","Paisley","Adults","24/08/2023",5,5,NA,5,5,"28/07/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Dumfries","Dumfries","Adults","13/07/2018",4,4,NA,4,5,"25/05/2018","2004_8",1,1
NA,"Voluntary or Not for Profit","RCA Trust Housing Support Unit","Paisley","Adults","01/08/2019",3,3,NA,3,3,"03/11/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - West Fife","Dunfermline","Adults","17/07/2023",5,4,NA,4,5,"12/07/2023","2004_8",2,2
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Central Fife","Glenrothes","Adults","11/05/2023",3,5,NA,5,3,"25/04/2023","2004_8",1,1
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Glenrothes & North East Fife","Cupar","Adults","19/06/2023",5,5,NA,5,5,"25/05/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Highland NLJ","Inverness","Adults","28/08/2023",4,4,NA,4,4,"21/07/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Glasgow Flexible Housing Support Service South","Glasgow","Adults","13/11/2023",5,5,NA,5,5,"04/10/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Turning Point Scotland Elgin","Elgin","Adults","15/07/2019",5,5,NA,5,4,"20/06/2019","2004_8",0,0
NA,"Private","Mariner Home Care","Dunoon","Adults","18/11/2019",5,5,NA,5,5,"26/09/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Abbeyfield Helensburgh","Helensburgh","Adults","12/07/2023",5,5,NA,5,5,"20/06/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Clydebank Women's Aid - Housing Support Unit","Clydebank","Adults","26/06/2018",5,5,NA,5,5,"04/05/2018","2004_7",0,0
NA,"Voluntary or Not for Profit","Action Group - Team B","Edinburgh","Adults","02/02/2023",5,4,NA,4,3,"17/11/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Action Group - Team D","Edinburgh","Adults","29/09/2023",5,4,NA,4,4,"31/07/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","Anchor House","Perth","Adults","31/07/2018",6,6,NA,6,6,"29/05/2018","2004_11",0,0
NA,"Private","My Care Tayside","Dundee","Adults","10/03/2023",4,5,NA,5,4,"01/02/2023","2004_9",3,3
NA,"Voluntary or Not for Profit","Lanarkshire Supported Living Service","Glasgow","Adults","04/02/2020",5,5,NA,5,4,"15/03/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Penumbra - Western Isles Supported Living Service","Stornoway","Adults","19/03/2018",6,6,NA,6,6,"29/01/2018","2004_7",0,0
NA,"Voluntary or Not for Profit","Penumbra - Supported Living Service (Forth Valley)","Falkirk","Adults","17/01/2023",5,5,NA,5,4,"14/11/2022","2004_7",0,0
NA,"Voluntary or Not for Profit","Penumbra - Edinburgh Supported Living Service","Edinburgh","Adults","21/01/2020",6,6,NA,5,5,"02/12/2019","2004_7",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) Edinburgh and West Lothian","Edinburgh","Adults","25/10/2018",6,6,NA,6,5,"15/08/2018","2004_11",1,1
NA,"Voluntary or Not for Profit","Enable Scotland East Argyll & Bute","Helensburgh","Adults","09/05/2023",5,5,NA,5,5,"27/02/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Oban, Lorn and Isles","Oban","Adults","06/08/2019",5,5,NA,5,5,"05/06/2019","2004_11",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Ayrshire","Kilmarnock","Adults","13/09/2023",4,4,NA,4,4,"24/08/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Glasgow","Glasgow","Adults","07/04/2023",4,5,NA,5,3,"09/02/2023","2004_11",1,1
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - East Renfrewshire Community Support Services","Glasgow","Adults","30/08/2018",5,5,NA,4,5,"24/07/2018","2004_11",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Lanarkshire Services","Euro Central","Adults","23/03/2023",4,5,NA,5,3,"24/02/2023","2004_10",0,0
NA,"Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Forth Valley","Stirling","Adults","25/10/2023",4,4,NA,4,4,"24/10/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","ENABLE Scotland: West","Glasgow","Adults","23/10/2023",4,5,NA,5,4,"18/09/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Hillcrest Futures Dundee - Alexander Street, Lismore Terrace, Longfield Drive","Dundee","Adults","17/10/2023",4,6,NA,5,4,"12/09/2023","2004_11",1,1
NA,"Voluntary or Not for Profit","Hillcrest Futures - Tullideph, David Street, Martingale, Birkdale services","Dundee","Adults","30/04/2019",4,4,NA,5,4,"16/04/2019","2004_12",0,0
NA,"Voluntary or Not for Profit","Hillcrest Futures Edinburgh and Fife","Edinburgh","Adults","14/06/2017",6,6,NA,5,5,"27/04/2017","2004_12",0,0
NA,"Voluntary or Not for Profit","Sense Scotland Supported Living Glasgow 1 & Surrounding Area","Glasgow","Adults","16/05/2023",4,4,NA,4,4,"20/04/2023","2004_12",0,0
NA,"Voluntary or Not for Profit","Sense Scotland Supported Living: Lanarkshire West Lothian and Surrounding Areas","Coatbridge","Adults","01/05/2017",6,6,NA,5,5,"24/03/2017","2004_11",0,0
NA,"Voluntary or Not for Profit","Sense Scotland Supported Living: Dundee 2 & Surrounding Areas","Dundee","Adults","25/09/2022",4,5,NA,4,4,"21/07/2022","2004_12",0,0
NA,"Voluntary or Not for Profit","Sense Scotland Supported Living: Fife & Surrounding Areas","Glenrothes","Adults","11/04/2023",3,3,NA,3,3,"15/03/2023","2004_12",0,0
NA,"Voluntary or Not for Profit","Sense Scotland Supported Living: Aberdeenshire & Surrounding Area","Ellon","Adults","03/04/2023",5,5,NA,4,5,"02/02/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","Evergreen Home Support","Greenock","Adults","06/02/2020",4,4,NA,5,4,"22/09/2023","2004_7",0,0
NA,"Private","Denovan Home Care","Denny","Adults","09/05/2023",5,5,NA,5,5,"12/01/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","SAY Women Housing Support Unit","Glasgow","Adults","20/12/2019",5,5,NA,5,5,"28/10/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","Action in Mind","Stirling","Adults","17/11/2023",5,6,NA,5,5,"27/10/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Committed to Ending Abuse (CEA) Ltd","Falkirk","Adults","16/01/2020",5,5,NA,5,5,"05/12/2019","2004_9",0,0
NA,"Local Authority","East Lothian Council - Sheltered Housing","Musselburgh","Adults","10/11/2023",4,4,NA,4,4,"10/10/2023","2004_8",1,1
NA,"Local Authority","East Lothian Council - Homeless Section","Musselburgh","Adults","03/04/2018",5,5,NA,5,5,"22/02/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","Four Square (Scotland) - Stopover","Edinburgh","Adults","15/04/2021",5,5,NA,5,5,"12/02/2021","2004_7",0,0
NA,"Voluntary or Not for Profit","Four Square (Scotland) - Follow up","Edinburgh","Adults","02/11/2023",5,4,NA,5,4,"05/10/2023","2004_7",0,0
NA,"Voluntary or Not for Profit","North Lanarkshire Women's Aid","Glasgow","Adults","13/03/2019",6,6,NA,6,5,"04/02/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","Trust Housing Association Ltd - Branch 4","Glasgow","Adults","23/11/2023",5,5,NA,5,5,"06/11/2023","2004_7",1,1
NA,"Voluntary or Not for Profit","Teen Challenge UK - North East Scotland","Turriff","Adults","13/08/2018",5,5,NA,5,5,"01/08/2018","2004_9",0,0
NA,"Voluntary or Not for Profit","Teen Challenge UK - Whitchester House","Duns","Adults","24/08/2023",5,4,NA,5,4,"23/08/2023","2004_9",0,0
NA,"Voluntary or Not for Profit","The Richmond Fellowship Scotland - Angus Services","Arbroath","Adults","23/11/2023",5,5,NA,3,4,"14/11/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Dalmuir Park Housing Association Sheltered Housing Service","Clydebank","Adults","14/08/2023",5,5,NA,5,5,"27/07/2023","2004_12",0,0
NA,"Voluntary or Not for Profit","Wheatley Care Flexible Homelessness Outreach Support Service","Glasgow","Adults","20/12/2016",6,6,NA,5,5,"22/09/2016","2004_11",0,0
NA,"Voluntary or Not for Profit","Angus Women's Aid","Arbroath","Adults","26/03/2019",5,5,NA,4,5,"18/02/2019","2004_10",0,0
NA,"Voluntary or Not for Profit","Dundee Women's Aid","Dundee","Adults","13/02/2019",5,5,NA,5,6,"21/01/2019","2004_10",0,0
NA,"Local Authority","West Dunbartonshire HSCP, Throughcare/Aftercare Team","Dumbarton","Adults","27/02/2020",5,6,NA,6,5,"17/01/2020","2004_11",0,0
NA,"Private","Careline Home Support","Glasgow","Adults","09/11/2023",3,3,NA,3,3,"21/09/2023","2004_8",0,0
NA,"Voluntary or Not for Profit","Dumbarton District Women's Aid","Alexandria","Adults","23/07/2018",5,5,NA,5,5,"06/06/2018","2004_8",0,0
NA,"Voluntary or Not for Profit","Bob McTaggart House","Glasgow","Adults","30/03/2023",3,3,NA,3,3,"14/03/2023","2005_3",0,0
NA,"Private","Dudhope Villa and Sister Properties","Dundee","Adults","11/07/2023",4,3,NA,4,3,"29/06/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Abbeyfield Strathaven & District Society Ltd","Strathaven","Adults","13/07/2023",5,5,NA,5,5,"22/06/2023","2004_11",0,0
NA,"Local Authority","South Lanarkshire Council Housing Support Service","Hamilton","Adults","14/02/2020",5,5,NA,5,5,"12/12/2019","2004_8",0,0
NA,"Private","Ability Scotland Ltd Trading as Ability Care Services","Paisley","Adults","20/01/2020",5,5,NA,5,5,"11/12/2019","2004_6",0,0
NA,"Local Authority","Sheltered Housing - East Kilbride","East Kilbride","Adults","27/06/2017",5,5,NA,5,5,"26/05/2017","2004_8",0,0
NA,"Voluntary or Not for Profit","SAFFRON Project","Glasgow","Adults","20/06/2019",4,4,NA,5,5,"07/05/2019","2005_1",0,0
NA,"Voluntary or Not for Profit","Positive Steps (East)","Dundee","Adults","11/09/2023",5,4,NA,6,4,"25/08/2023","2004_11",0,0
NA,"Voluntary or Not for Profit","Abbeyfield Stirling Society Ltd","Stirling","Adults","20/11/2023",5,3,NA,3,5,"08/11/2023","2005_1",1,1
NA,"Voluntary or Not for Profit","16+ Glasgow","Glasgow","Adults","17/09/2020",5,5,NA,5,5,"17/02/2020","2005_3",0,0
NA,"Voluntary or Not for Profit","Barnardo's 16+ Edinburgh","Edinburgh","Adults","06/05/2019",5,5,NA,5,5,"28/03/2019","2005_3",0,0
NA,"Private","Living Ambitions Limited - Aberdeen Services","Aberdeen","Adults","17/10/2023",2,2,NA,2,2,"11/09/2023","2004_11",0,0
NA,"Local Authority","Falkirk Council - Housing Support Service - West Locality","Denny","Adults","26/04/2022",4,4,NA,4,4,"08/02/2022","2004_11",0,0
NA,"Local Authority","Joint Dementia Initiative","Falkirk","Adults","21/02/2023",5,6,NA,5,5,"09/02/2023","2005_1",0,0
NA,"Voluntary or Not for Profit","Hamilton Supported Living Service - Housing Support Service","Hamilton","Adults","11/09/2019",5,5,NA,4,4,"20/05/2019","2004_9",0,0
NA,"Voluntary or Not for Profit","Lanarkshire Association for Mental Health Individual Support Service","Airdrie","Adults","02/03/2020",5,5,NA,5,5,"04/02/2020","2004_9",0,0
