"Subtype","Provider","Name","Town","Council","Grades published","Wellbeing support","Care and support","Setting","Staffing","Leadership","Last_inspection_Date","Registered","Complaints upheld since 22/23","Enforcements since 22/23"
"Mental Health Problems","Private","Allandale House","Peterhead","Aberdeenshire","09/11/2022",5,5,5,6,6,"16/09/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","16 Auchmore Road","Ellon","Aberdeenshire","01/08/2022",5,5,5,5,5,"31/05/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","12 Carronhall","Stonehaven","Aberdeenshire","29/04/2024",4,4,4,4,4,"18/04/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Ellon Respite Services","Ellon","Aberdeenshire","14/11/2022",4,5,5,5,4,"14/10/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","33 Malcolms Mount","Stonehaven","Aberdeenshire","06/06/2022",5,5,5,4,5,"12/05/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Inspire Bredero Drive","Banchory","Aberdeenshire","15/08/2023",5,5,5,5,5,"26/06/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","2 Carolines Crescent","Ellon","Aberdeenshire","07/06/2022",4,4,4,4,4,"28/04/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Inspire- Eden Drive","Peterhead","Aberdeenshire","01/02/2023",5,5,3,5,5,"30/01/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Beannachar","Aberdeen","Aberdeenshire","25/05/2023",4,5,4,5,4,"11/05/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Alexander Scott's Hospital Eventide Home","Huntly","Aberdeenshire","10/08/2022",5,5,4,5,5,"22/07/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Alford Service","Alford","Aberdeenshire","09/01/2023",4,4,4,4,3,"09/12/2022","2002_4",0,0
"Older People","Private","Bonnyton House","Ellon","Aberdeenshire","24/06/2024",5,4,5,5,5,"30/05/2024","2002_4",0,0
"Older People","Local Authority","Kinloch Care Centre","Carnoustie","Angus","27/04/2023",4,4,5,4,4,"09/03/2023","2002_4",0,0
"Learning Disabilities","Local Authority","The Gables","Forfar","Angus","13/12/2022",3,5,3,5,4,"16/11/2022","2002_4",0,0
"Older People","Local Authority","Seaton Grove","Arbroath","Angus","06/03/2024",4,5,4,4,5,"29/01/2024","2002_4",0,0
"Older People","Private","Braehill Lodge","Carnoustie","Angus","10/04/2024",4,4,3,4,4,"21/03/2024","2002_4",0,0
"Learning Disabilities","Private","St. Vigeans","Arbroath","Angus","12/09/2023",5,4,4,5,5,"29/08/2023","2002_4",0,0
"Older People","Private","Tarriebank House","Arbroath","Angus","11/08/2023",4,4,4,4,4,"27/07/2023","2002_4",3,0
"Older People","Private","Willowbank","Carnoustie","Angus","04/10/2023",4,4,4,4,4,"13/09/2023","2002_4",1,0
"Older People","Private","Northwood House Care Home","Helensburgh","Argyll & Bute","15/09/2022",3,4,4,5,4,"25/07/2022","2002_4",0,0
"Older People","Local Authority","Gortanvogie Residential Home","Isle Of Islay","Argyll & Bute","16/11/2022",3,4,4,4,3,"05/10/2022","2002_4",0,0
"Older People","Local Authority","Struan Lodge","Dunoon","Argyll & Bute","24/06/2022",5,5,5,5,5,"16/06/2022","2002_4",0,0
"Older People","Local Authority","Thomson Court","Isle Of Bute","Argyll & Bute","28/07/2022",4,4,5,5,4,"05/07/2022","2002_4",0,0
"Older People","Local Authority","Eadar Glinn Residential Home","Oban","Argyll & Bute","20/12/2021",4,4,4,4,4,"24/11/2021","2002_4",0,0
"Older People","Local Authority","Tigh-a-Rudha Residential Home","Isle Of Tiree","Argyll & Bute","22/10/2021",3,3,3,3,3,"13/10/2021","2002_4",0,0
"Older People","Local Authority","Janet Brougham House","Dundee","Dundee City","18/04/2024",4,4,6,5,3,"13/06/2024","2002_4",0,0
"Older People","Local Authority","Menzieshill House","Dundee","Dundee City","20/03/2024",3,5,5,5,3,"09/02/2024","2002_4",0,0
"Older People","Local Authority","Turriff House","Dundee","Dundee City","08/03/2024",4,4,5,5,4,"25/01/2024","2002_4",0,0
"Older People","Private","Forebank","Dundee","Dundee City","25/10/2023",4,5,4,4,4,"02/10/2023","2002_4",1,0
"Respite Care and Short Breaks","Local Authority","Mackinnon Centre","Dundee","Dundee City","23/03/2023",4,4,5,6,4,"06/05/2024","2002_4",0,0
"Learning Disabilities","Local Authority","White Top Centre","Dundee","Dundee City","15/09/2022",6,5,6,5,6,"09/08/2022","2002_4",0,0
"Older People","Private","Graceland","Kilmarnock","East Ayrshire","18/10/2023",5,5,5,5,5,"05/10/2023","2002_8",0,0
"Learning Disabilities","Private","The Elms - Crosshouse","Kilmarnock","East Ayrshire","22/02/2024",4,4,4,4,4,"01/02/2024","2002_4",1,0
"Older People","Private","Thorntoun Estate Nursing Home","Kilmarnock","East Ayrshire","12/12/2023",4,4,4,4,4,"22/11/2023","2002_4",3,0
"Learning Disabilities","Private","Newhouse","Kilmarnock","East Ayrshire","05/02/2024",4,4,4,5,4,"17/01/2024","2002_4",0,0
"Learning Disabilities","Private","Kirklea","Kilmarnock","East Ayrshire","26/07/2022",5,4,5,6,4,"02/06/2022","2002_4",0,0
"Older People","Private","Abbotsford House","Glasgow","East Dunbartonshire","26/02/2024",5,4,4,4,4,"12/02/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Ashfield House","Glasgow","East Dunbartonshire","21/02/2023",5,5,5,4,4,"27/01/2023","2002_4",0,0
"Learning Disabilities","Local Authority","John Street House","Glasgow","East Dunbartonshire","15/09/2022",5,5,5,5,4,"22/07/2022","2002_4",0,0
"Older People","Private","Westlea Care Home","Glasgow","East Renfrewshire","27/03/2023",5,4,5,4,4,"23/03/2023","2002_4",1,0
"Older People","Voluntary or Not for Profit","Williamwood","Glasgow","East Renfrewshire","28/06/2023",4,5,5,4,4,"09/06/2023","2002_4",0,0
"Older People","Private","Craigend Gardens Care Home","Glasgow","Glasgow City","24/05/2024",4,3,4,4,3,"30/04/2024","2002_4",2,0
"Older People","Voluntary or Not for Profit","David Cargill House","Glasgow","Glasgow City","12/04/2023",5,4,4,5,4,"09/03/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Balshagray House","Glasgow","Glasgow City","19/12/2023",5,5,5,5,5,"16/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Esmond Street Advanced Support Service","Glasgow","Glasgow City","17/06/2024",5,5,5,5,5,"02/05/2024","2002_4",1,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Hayfield Residential Services","Glasgow","Glasgow City","27/03/2024",5,5,5,5,4,"19/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Daniel House","Glasgow","Glasgow City","23/05/2022",5,5,5,5,4,"22/04/2022","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Blackwood Care - Belses Gardens Care Home","Glasgow","Glasgow City","05/09/2022",4,5,5,5,3,"25/08/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","South Carntyne Project","Glasgow","Glasgow City","22/07/2022",5,5,5,5,4,"24/06/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Mavisbank Gardens","Glasgow","Glasgow City","05/09/2022",5,4,5,5,5,"21/07/2022","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Forrest House","Glasgow","Glasgow City","23/05/2024",3,3,5,4,3,"17/04/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Brisbane Supported Accommodation Project","Glasgow","Glasgow City","06/09/2022",3,5,4,5,3,"15/05/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Ledmore Supported Accommodation Project","Glasgow","Glasgow City","15/11/2023",4,4,4,4,4,"12/10/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Easterhill Project Supported Accommodation","Glasgow","Glasgow City","13/07/2022",3,4,4,4,3,"09/05/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Beacon House","Glasgow","Glasgow City","01/06/2022",5,4,5,5,5,"13/05/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Victoria Project","Glasgow","Glasgow City","01/06/2022",4,5,4,5,3,"26/05/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Carbeth House","Glasgow","Glasgow City","20/05/2022",5,4,4,5,5,"16/05/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Southside Dementia Services","Glasgow","Glasgow City","17/05/2022",5,5,5,5,4,"09/05/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Mitre House","Glasgow","Glasgow City","22/11/2023",4,4,4,4,4,"09/11/2023","2002_4",0,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","CrossReach Abstinence Recovery Service","Glasgow","Glasgow City","07/03/2022",5,4,4,4,4,"16/02/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Balmoral Gate","Glasgow","Glasgow City","21/07/2022",4,5,5,5,5,"15/07/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Oakley Terrace Scheme","Glasgow","Glasgow City","20/12/2022",4,5,4,5,4,"16/11/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Woodside Community Mental Health Project","Glasgow","Glasgow City","11/12/2023",5,5,5,5,5,"03/11/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Supported Living Services Glasgow South","Glasgow","Glasgow City","05/12/2022",5,5,5,5,5,"14/11/2022","2002_4",0,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","Buchanan Lodge","Glasgow","Glasgow City","05/01/2023",4,4,4,4,4,"16/12/2022","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Riverside Project","Glasgow","Glasgow City","24/06/2024",4,4,4,4,4,"17/05/2024","2002_4",0,0
"Older People","Local Authority","Hawthorn House","Glasgow","Glasgow City","29/03/2024",3,3,4,3,3,"05/03/2024","2002_4",2,0
"Older People","Private","Oxton House Residential Home For Older People","Glasgow","Glasgow City","13/06/2024",4,3,4,4,4,"15/05/2024","2002_4",0,0
"Older People","Private","Swintonhill Residential Home","Glasgow","Glasgow City","07/09/2022",4,4,4,4,4,"24/08/2022","2002_4",0,0
"Respite Care and Short Breaks","Local Authority","Respite Unit","Greenock","Inverclyde","21/09/2020",5,4,5,5,5,"25/02/2020","2002_4",0,0
"Older People","Voluntary or Not for Profit","Campbell Snowdon House","Bridge Of Weir","Inverclyde","06/02/2023",4,6,6,6,4,"31/01/2023","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Lynedoch House","Greenock","Inverclyde","10/08/2022",4,5,5,5,4,"08/07/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Westview","Greenock","Inverclyde","09/12/2022",4,5,4,5,4,"17/11/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Quarriers Finnart Street","Greenock","Inverclyde","09/12/2022",4,5,4,5,5,"11/11/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Riverview","Bridge Of Weir","Inverclyde","07/12/2022",4,5,5,5,4,"30/05/2024","2002_4",0,0
"Older People","Voluntary or Not for Profit","South Beach House","Ardrossan","North Ayrshire","14/12/2023",4,4,4,4,4,"06/12/2023","2002_4",2,0
"Older People","Voluntary or Not for Profit","Abbeyfield House Care Home","Irvine","North Ayrshire","13/02/2023",4,5,5,5,4,"10/01/2023","2002_4",1,0
"Older People","Private","Haylie House Residential Home","Largs","North Ayrshire","22/09/2022",5,4,4,4,5,"15/06/2022","2002_4",0,0
"Learning Disabilities","Private","Barrington House","Beith","North Ayrshire","20/09/2022",4,5,5,4,4,"23/08/2022","2002_4",0,0
"Older People","Local Authority","Montrose House","Isle Of Arran","North Ayrshire","04/03/2024",3,3,4,3,3,"20/06/2024","2002_4",0,0
"Learning Disabilities","Private","Phew","Motherwell","North Lanarkshire","03/04/2024",4,4,4,4,3,"29/02/2024","2002_4",1,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Wallace Court","Johnstone","Renfrewshire","18/12/2022",4,6,5,5,5,"31/10/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Adams House","Johnstone","Renfrewshire","14/05/2024",4,3,4,3,3,"11/04/2024","2002_4",0,0
"Learning Disabilities","Private","Beechmount","Johnstone","Renfrewshire","25/09/2023",5,4,4,4,5,"30/08/2023","2002_4",0,0
"Older People","Local Authority","Hillcrest Residential Unit","Girvan","South Ayrshire","03/10/2023",5,5,5,5,5,"14/09/2023","2002_4",0,0
"Learning Disabilities","Local Authority","Chalmers Road","Ayr","South Ayrshire","03/03/2023",5,5,5,5,4,"17/01/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Shawburn","Prestwick","South Ayrshire","04/03/2024",3,4,4,4,4,"08/02/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Hansel Cabin Respite Service","Kilmarnock","South Ayrshire","11/06/2024",5,5,3,5,4,"24/05/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Crail / Wilson Houses Small Group Living Services","Kilmarnock","South Ayrshire","26/10/2022",4,5,4,4,5,"06/10/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","The Courtyard","Kilmarnock","South Ayrshire","31/10/2022",5,5,5,5,5,"16/09/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Airlie House","Ayr","South Ayrshire","18/09/2023",5,4,4,4,5,"01/09/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Cumnor Hall","Ayr","South Ayrshire","03/06/2024",2,2,2,2,2,"27/06/2024","2002_4",1,0
"Older People","Private","Dundonald House","Kilmarnock","South Ayrshire","15/04/2024",6,4,4,4,5,"22/03/2024","2002_4",0,0
"Older People","Local Authority","South Lodge","Ayr","South Ayrshire","17/05/2024",5,5,5,5,5,"10/05/2024","2002_4",0,0
"Older People","Private","Glenfairn House Nursing Home","Ayr","South Ayrshire","13/05/2024",4,4,4,4,4,"30/04/2024","2002_4",1,0
"Older People","Local Authority","Meldrum Gardens","Glasgow","South Lanarkshire","09/02/2024",5,5,5,5,5,"18/01/2024","2002_4",0,0
"Older People","Local Authority","McKillop Gardens","Glasgow","South Lanarkshire","28/07/2022",5,5,5,5,5,"01/07/2022","2002_4",0,0
"Older People","Local Authority","McClymont House","Lanark","South Lanarkshire","13/06/2022",5,5,6,5,5,"31/05/2022","2002_4",0,0
"Older People","Local Authority","David Walker Gardens","Glasgow","South Lanarkshire","24/11/2022",5,5,5,5,4,"11/11/2022","2002_4",0,0
"Older People","Local Authority","Dewar House","Hamilton","South Lanarkshire","06/02/2023",5,5,4,5,5,"25/01/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Abbeyfield Extra Care House & Templeton House","Glasgow","South Lanarkshire","19/04/2024",3,4,4,3,3,"28/06/2024","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Clannalba","Biggar","South Lanarkshire","26/10/2022",5,4,4,5,5,"05/10/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","New Ridgepark","Lanark","South Lanarkshire","16/05/2024",4,4,3,3,3,"19/04/2024","2002_4",0,0
"Learning Disabilities","Private","Castle Street Care Home, Living Ambitions Limited","Glasgow","South Lanarkshire","13/09/2023",3,3,4,3,3,"07/02/2024","2002_4",0,0
"Mental Health Problems","Voluntary or Not for Profit","Sheriff Park Service","Glasgow","South Lanarkshire","25/05/2022",5,6,6,6,5,"28/04/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Lanark Project","Lanark","South Lanarkshire","22/09/2022",5,4,5,5,5,"15/09/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Threshold Support Services - Residential","Hamilton","South Lanarkshire","30/11/2022",3,4,4,3,3,"03/11/2022","2002_4",0,0
"Older People","Private","Strathleven Care Home","Dumbarton","West Dunbartonshire","08/02/2023",3,4,4,3,3,"26/01/2023","2002_4",0,0
"Older People","Local Authority","Ladywalk House","Anstruther","Fife","19/09/2023",4,4,4,4,4,"16/08/2023","2002_4",0,0
"Older People","Local Authority","Matthew Fyfe Care Home","Dunfermline","Fife","19/04/2024",4,4,4,3,5,"28/03/2024","2002_4",0,0
"Older People","Local Authority","Northeden House","Cupar","Fife","15/04/2024",3,3,3,3,3,"25/06/2024","2002_4",0,0
"Older People","Local Authority","Methilhaven Care Home","Methil","Fife","10/04/2024",5,4,5,5,5,"14/03/2024","2002_4",0,0
"Respite Care and Short Breaks","Local Authority","78 Broad Street","Cowdenbeath","Fife","20/11/2023",4,5,4,3,5,"30/10/2023","2002_4",0,0
"Older People","Private","Villa Atina","Burntisland","Fife","08/12/2023",4,4,3,5,4,"23/11/2023","2002_4",1,0
"Older People","Private","Orchardhead House","Rosyth","Fife","11/12/2023",5,5,5,5,5,"15/11/2023","2002_4",0,0
"Older People","Voluntary or Not for Profit","Abbeyfield House Care Home","Kirkcaldy","Fife","29/07/2022",5,5,5,5,5,"12/07/2022","2002_4",0,0
"Older People","Private","Glendale Lodge","Dunfermline","Fife","23/06/2022",5,5,5,5,5,"09/06/2022","2002_4",1,0
"Older People","Voluntary or Not for Profit","Abbeyfield Ballachulish (Care Home)","Ballachulish","Highland","09/01/2023",5,6,6,6,5,"09/12/2022","2002_4",1,0
"Older People","Voluntary or Not for Profit","Cameron House (Care Home)","Inverness","Highland","21/06/2022",4,5,3,4,4,"25/04/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Whinnieknowe (Care Home)","Nairn","Highland","07/12/2022",4,4,4,5,4,"03/11/2022","2002_4",1,0
"Older People","Voluntary or Not for Profit","Oversteps (Care Home)","Dornoch","Highland","14/11/2023",4,4,4,4,3,"20/10/2023","2002_4",1,0
"Alcohol & Drug Misuse","Voluntary or Not for Profit","Beechwood House","Inverness","Highland","01/09/2022",4,5,5,4,4,"16/08/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Aden House (Care Home)","Inverness","Highland","17/08/2023",4,4,4,4,4,"14/07/2023","2002_4",1,0
"Older People","Voluntary or Not for Profit","Ballifeary House","Inverness","Highland","06/06/2023",5,4,4,4,5,"19/05/2023","2002_4",0,0
"Older People","Private","Kintyre House (Care Home)","Invergordon","Highland","24/11/2023",5,5,3,4,5,"08/11/2023","2002_4",0,0
"Older People","Private","Mull Hall (Care Home)","Invergordon","Highland","13/09/2022",4,4,4,4,5,"05/09/2022","2002_4",0,0
"Older People","Private","Strathallan House (Care Home)","Strathpeffer","Highland","11/08/2021",4,4,4,4,4,"29/07/2021","2002_4",0,0
"Physical and Sensory Impairment","Voluntary or Not for Profit","Cheshire House (Care Home)","Inverness","Highland","23/10/2019",5,5,6,6,5,"07/04/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Fram House","Beauly","Highland","04/12/2023",5,5,5,5,4,"21/11/2023","2002_4",0,0
"Respite Care and Short Breaks","Voluntary or Not for Profit","Birchview Respite Unit","Elgin","Moray","11/01/2023",5,5,4,6,4,"18/11/2022","2002_4",0,0
"Older People","Private","Glenisla Home","Keith","Moray","05/07/2022",5,5,4,4,5,"31/05/2022","2002_4",0,0
"Older People","Private","Netherha' House","Buckie","Moray","11/10/2023",4,5,4,5,5,"29/09/2023","2002_4",0,0
"Older People","Private","Speyside (Care Home)","Aberlour","Moray","16/11/2022",5,4,4,4,5,"07/11/2022","2002_4",1,0
"Older People","Local Authority","Hamnavoe House","Orkney","Orkney Islands","13/11/2023",4,4,5,4,4,"23/10/2023","2002_4",0,0
"Older People","Local Authority","St. Rognvalds House","Kirkwall","Orkney Islands","11/12/2023",4,4,4,4,4,"20/11/2023","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Enable Scotland (Leading the Way) - Old Scapa Road","Kirkwall","Orkney Islands","23/11/2022",4,5,4,4,5,"20/10/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Garvald Home Farm","West Linton","Scottish Borders","12/09/2022",4,5,5,4,4,"01/09/2022","2002_4",0,0
"Learning Disabilities","Voluntary or Not for Profit","Garvald West Linton","West Linton","Scottish Borders","06/06/2022",4,5,4,5,4,"27/05/2022","2002_4",1,0
"Older People","Private","Grange Hall","Melrose","Scottish Borders","17/04/2023",4,4,4,3,4,"13/06/2024","2002_4",1,0
"Older People","Private","Queens House","Kelso","Scottish Borders","08/12/2021",4,4,4,4,4,"01/12/2021","2002_4",0,0
"Older People","Local Authority","Edward Thomason & Taing Support Services","Shetland","Shetland Islands","08/04/2024",3,4,4,3,4,"25/03/2024","2002_4",2,0
"Older People","Voluntary or Not for Profit","Walter & Joan Gray (Care Home)","Shetland","Shetland Islands","22/07/2022",4,5,4,5,5,"15/06/2022","2002_4",0,0
"Older People","Local Authority","St Brendan's (Care Home)","Isle Of Barra","Na h-Eileanan Siar","18/04/2023",5,4,4,4,4,"06/04/2023","2002_4",0,0
"Learning Disabilities","Local Authority","Ardseileach","Stornoway","Na h-Eileanan Siar","13/09/2022",4,4,5,4,4,"29/08/2022","2002_4",0,0
"Older People","Local Authority","Harris House (Care Home)","Isle Of Harris","Na h-Eileanan Siar","16/06/2022",4,4,6,5,4,"16/05/2022","2002_4",0,0
"Older People","Voluntary or Not for Profit","Leverburgh Care Home","Isle Of Harris","Na h-Eileanan Siar","20/05/2022",4,4,4,4,4,"09/05/2022","2002_4",0,0
"Older People","Local Authority","Trianaid (Care Home)","Isle Of North Uist","Na h-Eileanan Siar","09/08/2022",4,5,5,5,3,"01/08/2022","2002_4",0,0
"Older People","Local Authority","Taigh a Chridhe Uile Naomh","Isle Of South Uist","Na h-Eileanan Siar","15/12/2023",4,4,4,3,4,"16/11/2023","2002_4",0,0
