"Council","Grade","Average","colour_filter"
"East Lothian","Wellbeing support",3.77777777777778,"Other"
"East Lothian","Care and support",3.77777777777778,"Other"
"East Lothian","Setting",3.77777777777778,"Other"
"East Lothian","Staffing",3.83333333333333,"Other"
"East Lothian","Leadership",3.88888888888889,"Other"
"East Renfrewshire","Wellbeing support",4.16666666666667,"Other"
"East Renfrewshire","Care and support",4.08333333333333,"Other"
"East Renfrewshire","Setting",4.33333333333333,"Other"
"East Renfrewshire","Staffing",4.08333333333333,"Other"
"East Renfrewshire","Leadership",3.91666666666667,"Other"
"Falkirk","Wellbeing support",4.5,"Other"
"Falkirk","Care and support",4.43333333333333,"Other"
"Falkirk","Setting",4.2,"Other"
"Falkirk","Staffing",4.36666666666667,"Other"
"Falkirk","Leadership",4.53333333333333,"Other"
"Fife","Wellbeing support",3.89189189189189,"Fife"
"Fife","Care and support",3.84931506849315,"Fife"
"Fife","Setting",4.05479452054795,"Fife"
"Fife","Staffing",3.95890410958904,"Fife"
"Fife","Leadership",4.05405405405405,"Fife"
"Glasgow City","Wellbeing support",4.09574468085106,"Other"
"Glasgow City","Care and support",4.0531914893617,"Other"
"Glasgow City","Setting",4.21276595744681,"Other"
"Glasgow City","Staffing",4.21276595744681,"Other"
"Glasgow City","Leadership",3.96808510638298,"Other"
"Highland","Wellbeing support",4.24193548387097,"Other"
"Highland","Care and support",4.28333333333333,"Other"
"Highland","Setting",4.26666666666667,"Other"
"Highland","Staffing",4.23333333333333,"Other"
"Highland","Leadership",4.03225806451613,"Other"
"Inverclyde","Wellbeing support",3.83333333333333,"Other"
"Inverclyde","Care and support",4.16666666666667,"Other"
"Inverclyde","Setting",4.22222222222222,"Other"
"Inverclyde","Staffing",4.33333333333333,"Other"
"Inverclyde","Leadership",3.94444444444444,"Other"
"Midlothian","Wellbeing support",3.75,"Other"
"Midlothian","Care and support",3.58333333333333,"Other"
"Midlothian","Setting",3.83333333333333,"Other"
"Midlothian","Staffing",3.66666666666667,"Other"
"Midlothian","Leadership",3.91666666666667,"Other"
"Moray","Wellbeing support",4,"Other"
"Moray","Care and support",4.125,"Other"
"Moray","Setting",4.0625,"Other"
"Moray","Staffing",4.0625,"Other"
"Moray","Leadership",4.125,"Other"
"Na h-Eileanan Siar","Wellbeing support",4.25,"Other"
"Na h-Eileanan Siar","Care and support",4.25,"Other"
"Na h-Eileanan Siar","Setting",4.5,"Other"
"Na h-Eileanan Siar","Staffing",4.25,"Other"
"Na h-Eileanan Siar","Leadership",4,"Other"
"North Ayrshire","Wellbeing support",4.1304347826087,"Other"
"North Ayrshire","Care and support",4.21739130434783,"Other"
"North Ayrshire","Setting",4.21739130434783,"Other"
"North Ayrshire","Staffing",4.04347826086957,"Other"
"North Ayrshire","Leadership",4.26086956521739,"Other"
"North Lanarkshire","Wellbeing support",3.81481481481481,"Other"
"North Lanarkshire","Care and support",3.7037037037037,"Other"
"North Lanarkshire","Setting",3.7037037037037,"Other"
"North Lanarkshire","Staffing",3.81481481481481,"Other"
"North Lanarkshire","Leadership",3.59259259259259,"Other"
"Orkney Islands","Wellbeing support",4,"Other"
"Orkney Islands","Care and support",4.4,"Other"
"Orkney Islands","Setting",4.2,"Other"
"Orkney Islands","Staffing",4.2,"Other"
"Orkney Islands","Leadership",4.2,"Other"
"Perth & Kinross","Wellbeing support",3.8780487804878,"Perth & Kinross"
"Perth & Kinross","Care and support",3.90243902439024,"Perth & Kinross"
"Perth & Kinross","Setting",3.95121951219512,"Perth & Kinross"
"Perth & Kinross","Staffing",4,"Perth & Kinross"
"Perth & Kinross","Leadership",3.73170731707317,"Perth & Kinross"
"Renfrewshire","Wellbeing support",4.03703703703704,"Other"
"Renfrewshire","Care and support",4.11111111111111,"Other"
"Renfrewshire","Setting",4.33333333333333,"Other"
"Renfrewshire","Staffing",4.33333333333333,"Other"
"Renfrewshire","Leadership",4.22222222222222,"Other"
"Scottish Borders","Wellbeing support",3.73076923076923,"Other"
"Scottish Borders","Care and support",3.84615384615385,"Other"
"Scottish Borders","Setting",3.92,"Other"
"Scottish Borders","Staffing",3.6,"Other"
"Scottish Borders","Leadership",3.73076923076923,"Other"
"Shetland Islands","Wellbeing support",3.9,"Other"
"Shetland Islands","Care and support",4.7,"Other"
"Shetland Islands","Setting",4.2,"Other"
"Shetland Islands","Staffing",4,"Other"
"Shetland Islands","Leadership",4,"Other"
"South Ayrshire","Wellbeing support",4.3125,"Other"
"South Ayrshire","Care and support",4.15625,"Other"
"South Ayrshire","Setting",4.34375,"Other"
"South Ayrshire","Staffing",4.28125,"Other"
"South Ayrshire","Leadership",4.3125,"Other"
"South Lanarkshire","Wellbeing support",4.14545454545455,"Other"
"South Lanarkshire","Care and support",4.01818181818182,"Other"
"South Lanarkshire","Setting",3.96363636363636,"Other"
"South Lanarkshire","Staffing",4.12727272727273,"Other"
"South Lanarkshire","Leadership",3.98181818181818,"Other"
"Stirling","Wellbeing support",4.66666666666667,"Stirling"
"Stirling","Care and support",4.19047619047619,"Stirling"
"Stirling","Setting",4.42857142857143,"Stirling"
"Stirling","Staffing",4.47619047619048,"Stirling"
"Stirling","Leadership",4.52380952380952,"Stirling"
"West Dunbartonshire","Wellbeing support",3.81818181818182,"Other"
"West Dunbartonshire","Care and support",4.1,"Other"
"West Dunbartonshire","Setting",4.18181818181818,"Other"
"West Dunbartonshire","Staffing",4.09090909090909,"Other"
"West Dunbartonshire","Leadership",3.81818181818182,"Other"
"West Lothian","Wellbeing support",4.61290322580645,"Other"
"West Lothian","Care and support",4.31034482758621,"Other"
"West Lothian","Setting",4.37931034482759,"Other"
"West Lothian","Staffing",4.51724137931035,"Other"
"West Lothian","Leadership",4.41935483870968,"Other"
