"CareService","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Provided_by_Local_Authority","Date_Reg","CareHome_Main_Area_of_Care","Council_Area_Name","NumberStaff","Registered_Places","Client_group","GradeSpread","MinGrade","MaxGrade","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2122","Complaints_upheld_2223","Complaints_upheld_2324","Enforcements_issued_2122","Enforcements_issued_2223","Enforcements_issued_2324","any_requirements_2122","any_requirements_2223","any_requirements_2324","Last_inspection_Date"
"Support Service","Care at Home","Local Authority","Len Ironside Centre","Aberdeen","AB16 6UE","Aberdeen City Council","Yes","2002_4",NA,"Aberdeen City",29.15,80,"Adults","Mix",4,5,"Same","20/11/2018",5,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31/10/2018"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Bob Cooney Court","Aberdeen","AB25 3SP","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeen City",6.6,4,"Adults","Mix",3,4,"Same","09/12/2022",3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"14/10/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Cornerstone Stevenson Court","Aberdeen","AB25 1GU","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeen City",8.13,3,"Adults","Mix",3,5,"Same","22/12/2022",5,4,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"21/11/2022"
"Care Home Service","Alcohol & Drug Misuse","Voluntary or Not for Profit","Wernham House","Aberdeen","AB11 5AZ","Aberdeen Cyrenians Ltd.","No","2002_4","Alcohol dependency","Aberdeen City",13.5,18,"Adults","Mix",3,5,"Same","13/02/2023",4,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"16/01/2023"
"Care Home Service","Physical and Sensory Impairment","Voluntary or Not for Profit","Blackwood Care - Raeden Court Care Home","Aberdeen","AB15 5PF","Blackwood Homes and Care","No","2002_4","Physical disability or illness","Aberdeen City",20.2,15,"Adults","Mix",3,5,"Same","11/04/2023",4,5,3,5,4,NA,1,NA,NA,NA,NA,NA,NA,"Yes",NA,"02/03/2023"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Leggart Terrace Service","Aberdeen","AB12 5UA","The Richmond Fellowship Scotland","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",8.44,8,"Adults","Mix",3,4,"Same","09/01/2023",3,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"22/11/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","153 Victoria Street","Aberdeen","AB21 7BJ","Archway (Respite Care & Housing) Ltd","No","2002_4","Learning difficulties","Aberdeen City",8.67,6,"Adults","Mix",4,5,"Same","28/03/2023",5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"15/02/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Berryden Mills","Aberdeen","AB25 3TE","Archway (Respite Care & Housing) Ltd","No","2002_4","Learning difficulties","Aberdeen City",NA,8,"Adults","Mix",4,5,"Same","04/07/2023",4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"03/03/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","71 Westburn Road","Aberdeen","AB25 2SH","Archway (Respite Care & Housing) Ltd","No","2002_4","Learning difficulties","Aberdeen City",14.8,12,"Adults","Mix",3,4,"Same","07/06/2022",4,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"05/05/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","31 Two Mile Cross","Aberdeen","AB10 7DL","Archway (Respite Care & Housing) Ltd","No","2002_4","Learning difficulties","Aberdeen City",8.75,6,"Adults","Mix",3,4,"Same","05/06/2023",3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","30/05/2023"
"Care Home Service","Children & Young People","Voluntary or Not for Profit","The Linksfield Residential Service","Aberdeen","AB24 5RE","Barnardo's 'known as' Barnardo's Scotland","No","2002_4",NA,"Aberdeen City",9.53,6,"Children","5 or 6",5,5,"Same","21/02/2023",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"06/02/2023"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Seabank House","Aberdeen","AB11 6EE","Seabank House Committee","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",NA,22,"Adults","Mix",3,3,"Same","17/09/2021",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"01/09/2021"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Aberlea House","Aberdeen","AB10 6XJ","Seabank House Committee","No","2002_4","Mental health problems (other than dementia)","Aberdeen City",6.5,5,"Adults","Mix",3,4,"Same","20/07/2022",4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","08/09/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","CSA Young Adult Residential Care","Aberdeen","AB15 9EP","Camphill Rudolf Steiner Schools Limited","No","2002_4","Learning difficulties","Aberdeen City",11.28,12,"Adults","5 or 6",5,5,"Improve","26/09/2023",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","01/09/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Simeon Care for the Elderly Limited","Aberdeen","AB15 9BN","Simeon Care For The Elderly Ltd","No","2002_4","Older people - dementia","Aberdeen City",19.16,23,"Adults","Mix",4,4,"Same","16/07/2021",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"23/06/2021"
"Care Home Service","Older People","Private","Summerhill Home","Aberdeen","AB15 6HU","The Trustees Of Summerhill Home","No","2002_4","Older people - dementia","Aberdeen City",12.83,23,"Adults","Mix",4,5,"Same","05/12/2022",4,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"29/11/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Tigh-A'Chomainn","Peterculter","AB14 0SB","Tigh-a'chomainn Camphill Ltd","No","2002_4","Learning difficulties","Aberdeen City",4.5,10,"Adults","Mix",3,6,"Same","06/01/2023",3,5,5,6,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"29/11/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","The Bungalow","Stonehaven","AB39 2EY","Church of Scotland Trading as Crossreach","No","2002_4","Learning difficulties","Aberdeenshire",20.83,5,"Adults","Mix",3,5,"Decline","21/09/2023",3,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Yes","25/08/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Balmedie House","Aberdeen","AB23 8XU","Church of Scotland Trading as Crossreach","No","2002_4","Older people - frailty","Aberdeenshire",20.13,34,"Adults","Mix",3,3,"Same","27/02/2023",3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements",NA,"30/01/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Clashfarquhar House","Stonehaven","AB39 2DJ","Church of Scotland Trading as Crossreach","No","2002_4","Older people - frailty","Aberdeenshire",20.3,21,"Adults","Mix",3,5,"Same","25/08/2023",4,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"Yes","14/08/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Bellfield Home","Banchory","AB31 5XH","Church of Scotland Trading as Crossreach","No","2002_4","Older people - frailty","Aberdeenshire",17.87,34,"Adults","Mix",4,4,"Improve","26/09/2023",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","01/09/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","6 School Park","Fraserburgh","AB43 6RZ","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeenshire",13.26,5,"Adults","Mix",4,5,"Same","18/10/2022",4,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"14/09/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","2 Park Vale","Peterhead","AB42 4XW","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeenshire",9.08,5,"Adults","Mix",4,5,"Same","16/01/2023",4,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"09/12/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Crudenlea","Stonehaven","AB39 2LQ","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeenshire",NA,11,"Adults","Mix",3,4,"Same","17/07/2023",4,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes","13/07/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","9 Riverside Drive","Stonehaven","AB39 2GP","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeenshire",3.62,4,"Adults","Mix",4,4,"Same","28/02/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"24/02/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","18 West Park","Montrose","DD10 0TT","Cornerstone Community Care","No","2002_4","Learning difficulties","Aberdeenshire",4.53,4,"Adults","Mix",4,5,"Same","04/03/2022",5,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"03/03/2022"
"Care Home Service","Children & Young People","Local Authority","Scalloway Park Children's Home","Fraserburgh","AB43 9FB","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",8.55,6,"Children","Mix",4,4,"Same","02/03/2023",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements",NA,"16/01/2023"
"Care Home Service","Older People","Local Authority","Grangepark Home","Peterhead","AB42 2SW","Aberdeenshire Council","Yes","2002_4","Older people - dementia","Aberdeenshire",34.5,35,"Adults","Mix",4,5,"Same","14/11/2019",5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"02/05/2022"
"Care Home Service","Older People","Local Authority","Ythanvale Home","Ellon","AB41 9AB","Aberdeenshire Council","Yes","2002_4","Older people - frailty","Aberdeenshire",34,31,"Adults","5 or 6",5,5,"Same","03/03/2021",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01/03/2021"
"Support Service","Care at Home","Local Authority","Banff Day Opportunities","Banff","AB45 1DZ","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",21,80,"Adults","Mix",3,6,"Same","14/08/2019",4,3,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05/07/2019"
"Support Service","Care at Home","Local Authority","Ellon Day Opportunities","Ellon","AB41 9AE","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",16.7,35,"Adults","5 or 6",5,5,"Same","16/09/2019",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31/07/2019"
"Support Service","Care at Home","Local Authority","South Day Services","Stonehaven","AB39 2TD","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",24.4,56,"Adults","Mix",4,5,"Same","06/10/2017",5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27/09/2017"
"Support Service","Care at Home","Local Authority","Aileen Duffus","Inverurie","AB51 3SP","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",21.48,51,"Adults","5 or 6",5,5,"Same","19/06/2015",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"07/05/2015"
"Support Service","Care at Home","Local Authority","Fraserburgh Day Opportunities","Fraserburgh","AB43 9BF","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",18.9,70,"Adults","5 or 6",5,6,"Same","23/03/2016",5,5,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23/02/2016"
"Support Service","Care at Home","Local Authority","Buchan Day Opportunities","Fraserburgh","AB43 9BF","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",35.06,10,"Adults","5 or 6",5,5,"Same","06/03/2018",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"06/02/2018"
"Care Home Service","Children & Young People","Local Authority","Coblehaugh Children's Home","Inverurie","AB51 3XD","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",NA,6,"Children","Mix",4,4,"Same","03/10/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"30/07/2022"
"Care Home Service","Older People","Local Authority","Durnhythe","Banff","AB45 2QJ","Aberdeenshire Council","Yes","2002_4","Older people - frailty","Aberdeenshire",35.38,35,"Adults","Mix",3,4,"Same","13/07/2023",4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","20/06/2023"
"Care Home Service","Children & Young People","Local Authority","Fernbank Children's Home","Peterhead","AB42 1TA","Aberdeenshire Council","Yes","2002_4",NA,"Aberdeenshire",7.5,4,"Children","5 or 6",5,5,"Same","07/04/2023",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"23/02/2023"
"Care Home Service","Older People","Local Authority","Allachburn","Aboyne","AB34 5GW","Aberdeenshire Council","Yes","2002_4","Older people - frailty","Aberdeenshire",84,91,"Adults","Mix",4,4,"Same","22/09/2023",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","21/07/2023"
"Care Home Service","Older People","Local Authority","Edenholme","Stonehaven","AB39 2FT","Aberdeenshire Council","Yes","2002_4","Older people - frailty","Aberdeenshire",NA,60,"Adults","Mix",4,5,"Same","13/09/2022",4,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"11/08/2022"
"Care Home Service","Older People","Local Authority","Faithlie","Fraserburgh","AB43 9NH","Aberdeenshire Council","Yes","2002_4","Older people - dementia","Aberdeenshire",34.1,35,"Adults","Mix",3,5,"Same","24/06/2022",4,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"27/05/2022"
"Care Home Service","Older People","Local Authority","Westbank House","Inverurie","AB51 0PP","Aberdeenshire Council","Yes","2002_4","Older people - frailty","Aberdeenshire",31.97,33,"Adults","Mix",3,4,"Same","01/05/2023",3,4,3,3,3,NA,NA,NA,NA,NA,1,NA,NA,"Yes",NA,"02/03/2023"
"Care Home Service","Learning Disabilities","Local Authority","Meadowview Respite","Peterhead","AB42 3DY","Aberdeenshire Council","Yes","2002_4","Learning difficulties","Aberdeenshire",NA,4,"Adults","Mix",3,5,"Same","06/12/2022",4,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"29/09/2022"
"Care Home Service","Mental Health Problems","Private","Allandale House","Peterhead","AB42 1EQ","Carers Ltd","No","2002_4","Mental health problems (other than dementia)","Aberdeenshire",NA,32,"Adults","5 or 6",5,6,"Same","09/11/2022",5,5,5,6,6,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"16/09/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","16 Auchmore Road","Ellon","AB41 9QG","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",4.5,3,"Adults","5 or 6",5,5,"Same","01/08/2022",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"31/05/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","12 Carronhall","Stonehaven","AB39 2QF","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",NA,4,"Adults","Mix",3,5,"Same","14/07/2023",5,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"Yes","22/06/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Ellon Respite Services","Ellon","AB41 9AS","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",5.7,2,"Adults","Mix",4,5,"Same","14/11/2022",4,5,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"14/10/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","33 Malcolms Mount","Stonehaven","AB39 2SR","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",NA,4,"Adults","Mix",4,5,"Same","06/06/2022",5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"12/05/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Inspire Bredero Drive","Banchory","AB31 5ZB","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",NA,4,"Adults","5 or 6",5,5,"Same","15/08/2023",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","26/06/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","2 Carolines Crescent","Ellon","AB41 8BN","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",8.9,5,"Adults","Mix",4,4,"Same","07/06/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"28/04/2022"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Inspire- Eden Drive","Peterhead","AB42 2AU","Inspire (Partnership Through Life) Ltd","No","2002_4","Learning difficulties","Aberdeenshire",4.99,4,"Adults","Mix",3,5,"Same","01/02/2023",5,5,3,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"30/01/2023"
"Care Home Service","Learning Disabilities","Voluntary or Not for Profit","Beannachar","Aberdeen","AB12 5YL","Beannachar Limited","No","2002_4","Autism spectrum disorders","Aberdeenshire",57.4,20,"Adults","Mix",4,5,"Same","25/05/2023",4,5,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","11/05/2023"
"Care Home Service","Older People","Voluntary or Not for Profit","Alexander Scott's Hospital Eventide Home","Huntly","AB54 8BD","Alexander Scott Hospital Eventide Home","No","2002_4","Older people - frailty","Aberdeenshire",40,40,"Adults","Mix",4,5,"Same","10/08/2022",5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"22/07/2022"
"Care Home Service","Mental Health Problems","Voluntary or Not for Profit","Alford Service","Alford","AB33 8TY","The Richmond Fellowship Scotland","No","2002_4","Mental health problems (other than dementia)","Aberdeenshire",NA,12,"Adults","Mix",3,4,"Same","09/01/2023",4,4,4,4,3,NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",NA,"09/12/2022"
"Care Home Service","Older People","Private","Bonnyton House","Ellon","AB41 9DH","Mr & Mrs K Winton a Partnership","No","2002_4","Older people - frailty","Aberdeenshire",8.53,14,"Adults","Mix",4,5,"Same","22/06/2022",5,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"24/05/2022"
"Care Home Service","Older People","Local Authority","Kinloch Care Centre","Carnoustie","DD7 7EN","Angus Council","Yes","2002_4","Older people - dementia","Angus",34.44,16,"Adults","Mix",4,5,"Same","27/04/2023",4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,"09/03/2023"
"Care Home Service","Learning Disabilities","Local Authority","The Gables","Forfar","DD8 2JL","Angus Council","Yes","2002_4","Learning difficulties","Angus",15.21,13,"Adults","Mix",3,5,"Same","13/12/2022",3,5,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"16/11/2022"
"Care Home Service","Children & Young People","Local Authority","Logan Cottages","Arbroath","DD11 3LR","Angus Council","Yes","2002_4",NA,"Angus",17.07,5,"Children","Mix",3,3,"Same","17/03/2023",3,3,3,3,3,NA,1,NA,NA,NA,NA,NA,NA,"Yes",NA,"16/01/2023"
"Care Home Service","Children & Young People","Local Authority","Strathmore Centre","Forfar","DD8 1ND","Angus Council","Yes","2002_4",NA,"Angus",6.88,4,"Children","5 or 6",6,6,"Same","09/05/2023",6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"17/03/2023"
"Care Home Service","Older People","Local Authority","Seaton Grove","Arbroath","DD11 5DT","Angus Council","Yes","2002_4","Older people - frailty","Angus",53.45,48,"Adults","Mix",2,5,"Same","14/11/2022",4,2,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"20/10/2022"
"Support Service","Other than Care at home","Local Authority","Kinloch Day Care Service","Carnoustie","DD7 7EN","Angus Council","Yes","2002_4",NA,"Angus",6.25,12,"Adults","Mix",4,5,"Same","04/04/2018",4,4,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12/02/2018"
"Support Service","Other than Care at home","Local Authority","Lilybank Resource Centre","Forfar","DD8 2JJ","Angus Council","Yes","2002_4",NA,"Angus",16.56,50,"Adults","5 or 6",6,6,"Same","18/07/2018",6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10/07/2018"
"Support Service","Other than Care at home","Local Authority","Lochlands Adult Resource Centre","Arbroath","DD11 3DY","Angus Council","Yes","2002_4",NA,"Angus",21.2,50,"Adults","5 or 6",5,5,"Same","19/08/2016",5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20/06/2013"
"Care Home Service","Older People","Private","Braehill Lodge","Carnoustie","DD7 7SR","Braehill Limited","No","2002_4","Older people - frailty","Angus",13.18,24,"Adults","Mix",4,4,"Same","28/02/2022",4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,"Inspected but no requirements",NA,NA,"17/02/2022"
"Care Home Service","Learning Disabilities","Private","St. Vigeans","Arbroath","DD11 1QG","Priority Care Group Limited","No","2002_4","Learning difficulties","Angus",24.46,25,"Adults","Mix",4,5,"Improve","12/09/2023",5,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Inspected but no requirements","29/08/2023"
"Care Home Service","Older People","Private","Tarriebank House","Arbroath","DD11 5RH","Tarriebank Limited","No","2002_4","Older people - frailty","Angus",24.1,24,"Adults","Mix",4,4,"Same","11/08/2023",4,4,4,4,4,NA,NA,2,NA,NA,NA,NA,"Inspected but no requirements",NA,"Inspected but no requirements","27/07/2023"
"Care Home Service","Older People","Private","Willowbank","Carnoustie","DD7 6AB","Balhousie Care Limited","No","2002_4","Older people - frailty","Angus",26,40,"Adults","Mix",3,3,"Same","17/11/2021",3,3,3,3,3,NA,NA,NA,1,NA,NA,NA,"Yes",NA,"Inspected but no requirements","13/09/2023"
"Support Service","Other than Care at home","Voluntary or Not for Profit","The Dalhousie Centre","Brechin","DD9 6HE","Brechin Day Care Limited","No","2002_4",NA,"Angus",6.52,25,"Adults","Mix",4,5,"Same","27/03/2017",5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24/03/2016"
