"","Subtype","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"11","Older People","Private","Angusfield Care Home","Aberdeen","AB15 8DN","Whitefield Nursing Home Limited","2018_3","Aberdeen City","Same","12/04/2024",4,5,4,4,4,NA,NA,"Yes","Inspected but no requirements",NA,"12/03/2024",4.2,0,0
"12","Older People","Private","Torry Care Home","Aberdeen","AB11 8HR","Renaissance Care (No1) Limited","2018_12","Aberdeen City","Same","22/12/2023",4,4,4,5,4,NA,NA,"Yes","Yes",NA,"30/11/2023",4.2,3,0
"13","Older People","Private","Maryfield West Care Home","Aberdeen","AB15 4ZN","Maryfield West Care Limited","2020_8","Aberdeen City","Same","12/02/2024",4,4,4,4,4,NA,NA,"Yes","Yes",NA,"09/02/2024",4,0,0
"14","Older People","Private","Hamewith Lodge","Aberdeen","AB16 7NL","HC-One Limited","2011_10","Aberdeen City","Same","28/07/2023",4,4,4,4,4,NA,NA,"Yes","Inspected but no requirements",NA,"17/07/2023",4,2,0
"15","Older People","Private","Jesmond Care Home","Aberdeen","AB22 8UR","Renaissance Care (No1) Limited","2018_12","Aberdeen City","Same","06/03/2024",4,4,4,4,4,NA,NA,"Yes","Inspected but no requirements",NA,"22/01/2024",4,2,0
"16","Older People","Private","Tor - Na - Dee Care Home","Aberdeen","AB13 0HR","Care UK Limited","2011_10","Aberdeen City","Same","10/04/2024",5,3,3,3,5,NA,NA,NA,"Inspected but no requirements",NA,"21/03/2024",3.8,0,0
"17","Older People","Private","Deeside Care Home","Aberdeen","AB15 9RZ","Deeside Care LLP","2013_10","Aberdeen City","Same","07/03/2024",3,4,4,4,4,NA,NA,"Yes","Yes",NA,"22/02/2024",3.8,1,0
"18","Older People","Private","Bon Accord Care - Balnagask House","Aberdeen","AB11 8LQ","Bon Accord Care","2013_8","Aberdeen City","Same","17/01/2024",3,4,3,4,4,NA,NA,"Yes","Yes",NA,"18/12/2023",3.6,0,0
"19","Older People","Private","Woodlands Care Home","Aberdeen","AB15 8FY","Priory CC3 Limited","2022_9","Aberdeen City","Same","11/07/2023",3,3,4,4,4,NA,NA,NA,"Inspected but no requirements","Inspected but no requirements","13/05/2024",3.6,2,0
"20","Older People","Private","Cranford Care Centre","Aberdeen","AB10 7NJ","Larchwood Care Homes (North) Limited","2011_10","Aberdeen City","Same","20/03/2024",4,3,4,4,3,NA,NA,"Yes","Yes",NA,"08/03/2024",3.6,3,0
"21","Older People","Private","Riverside Care Home","Aberdeen","AB10 7JD","Renaissance Care (No 4) Ltd","2023_8","Aberdeen City","Same","27/02/2024",3,3,4,3,3,1,NA,NA,"Inspected but no requirements",NA,"26/01/2024",3.2,1,0
"22","Older People","Private","Bon Accord Care - Kingswells Care Home","Aberdeen","AB15 8TB","Bon Accord Care","2018_1","Aberdeen City","Same","18/04/2024",3,3,3,2,3,NA,NA,"Yes","Yes",NA,"20/03/2024",2.8,1,0
"23","Older People","Private","Persley Castle","Aberdeen","AB21 9XU","Renaissance Care (No1) Limited","2011_11","Aberdeen City","Same","07/05/2024",2,3,3,3,3,NA,NA,"Yes","Yes","Inspected but no requirements","19/06/2024",2.8,2,1
"24","Older People","Private","Fairview House Care Home","Aberdeen","AB22 8ZP","Barchester Healthcare Ltd","2007_1","Aberdeen City","Same","15/05/2024",2,3,3,2,2,NA,TRUE,"Yes","Yes","Yes","10/04/2024",2.4,7,1
